gender,fav_number,retweet_count,tweet_count,link_hue,link_saturation,link_value,sidebar_hue,sidebar_saturation,sidebar_value
0,1059,0,21381,0,91.4,68.6,300,10,3.9
0,37,0,10446,0,0,0,300,10,3.9
1,10709,0,8756,243.8,59.8,82,0,0,3.9
0,290,0,38676,176.9,81.3,83.9,0,0,3.9
0,1811,0,106784,0,98,100,0,0,3.9
1,2,0,1869,215.9,61.3,74.9,156,90.9,43.1
1,2,0,983,300.7,96.5,33.7,196.9,95.9,94.5
0,606,0,9379,357.9,100,32.9,353.3,81.8,4.3
0,1754,0,10775,0,0,3.9,180,7.7,5.1
1,7769,0,19979,334.6,99,74.9,180,20,5.9
1,6916,0,13240,60,93.8,31.4,279,100,7.8
1,1739,0,52657,129,77.8,74.1,335,92.3,5.1
1,19,0,1782,349.8,95.2,72.9,337.5,61.5,5.1
1,1180,0,10159,0,0,60,0,7.7,5.1
1,1409,0,22917,198.9,46.3,16.1,60,30.8,5.1
1,55,0,3106,280,88,94.9,60,7.7,5.1
1,110,1,12891,180,88.1,42.7,180,88.9,49.4
1,13,0,837,300,10,3.9,300,6.7,5.9
1,5714,0,2554,196.1,90.8,98,200,94.1,100
1,1052,0,7380,206.1,11.9,76.1,169.1,92.1,74.9
0,43,0,5492,352.1,93.9,70.2,100,30,7.8
1,5209,0,17970,175.1,96.2,94.1,170.1,93,94.9
1,675,0,13330,20,34.6,85.1,175.5,89.9,69.8
1,1016,0,13229,267.8,87.7,85.9,220.2,90.8,81.2
1,5587,0,23213,178.1,93,94.9,180,92.1,94.1
1,714,0,2691,344.3,75,36.1,211.8,71,27.1
1,1966,0,42504,359.4,100,72.9,228.6,50,16.5
0,33118,0,92792,196,100,70.6,200,41.7,14.1
0,7110,0,13505,194.1,80.3,93.7,160,21.4,11
0,1421,1,9520,188.4,70.9,71.4,186.5,84.5,55.7
0,14024,0,68293,352.5,79.2,86.7,186.5,84.5,55.7
0,81,0,4481,206.2,72.8,85.1,186.5,84.5,55.7
1,2757,0,25017,300,85.2,74.1,200,11.5,10.2
0,0,0,43067,176.9,85.3,80,204,17.9,11
0,19659,0,44620,194.1,80.3,93.7,220,20,11.8
0,9505,0,133956,194.1,80.3,93.7,220,20,11.8
0,289,0,10065,194.1,80.3,93.7,220,20,11.8
1,1204,1,4009,194.1,80.3,93.7,220,20,11.8
0,223,0,970,194.1,80.3,93.7,220,20,11.8
1,93,0,306,194.1,80.3,93.7,220,20,11.8
0,264,0,212774,194.1,80.3,93.7,220,20,11.8
0,171,0,7148,0,80.2,92.9,220,20,11.8
0,598,0,9723,200.9,92.2,90.2,220,20,11.8
0,1265,0,123844,194.1,80.3,93.7,220,20,11.8
0,8,0,234323,194.1,80.3,93.7,220,20,11.8
0,1931,0,25132,194.1,80.3,93.7,220,20,11.8
0,3536,0,49325,222.9,13.3,41.2,220,20,11.8
0,44199,0,53693,194.1,80.3,93.7,220,20,11.8
1,207,0,369,300,80.2,92.9,220,20,11.8
0,124,0,733,4.1,80,92.2,220,20,11.8
0,63466,0,50662,194.1,80.3,93.7,220,20,11.8
0,63,0,42128,194.1,80.3,93.7,220,20,11.8
0,3503,0,34044,194.1,80.3,93.7,220,20,11.8
0,0,0,236076,194.1,80.3,93.7,220,20,11.8
1,968,0,1183,250.1,100,67.8,220,20,11.8
0,214,0,269,194.1,80.3,93.7,220,20,11.8
1,586,0,9565,194.1,80.3,93.7,220,20,11.8
0,23,0,21283,194.1,80.3,93.7,220,20,11.8
0,93,0,1819,194.1,80.3,93.7,220,20,11.8
0,11767,0,77436,194.1,80.3,93.7,220,20,11.8
0,809,0,7946,194.1,80.3,93.7,220,20,11.8
0,65,0,252,194.1,80.3,93.7,220,20,11.8
0,355,0,2848,194.1,80.3,93.7,220,20,11.8
1,12081,0,18258,34.4,93.8,31.4,220,20,11.8
0,3487,0,2509,352.2,83.8,94.1,220,20,11.8
0,352,0,10168,194.1,80.3,93.7,220,20,11.8
0,22,0,1859,343.3,55.9,72.9,220,20,11.8
0,193,0,204285,194.1,80.3,93.7,220,20,11.8
0,289,0,20677,194.1,80.3,93.7,220,20,11.8
0,587,0,1281,194.1,80.3,93.7,220,20,11.8
1,6019,0,4951,194.1,80.3,93.7,220,20,11.8
0,1111,0,15636,194.1,80.3,93.7,220,20,11.8
0,648,0,19285,194.1,80.3,93.7,220,20,11.8
0,8646,0,10223,194.1,80.3,93.7,220,20,11.8
1,6929,0,50395,194.1,80.3,93.7,220,20,11.8
0,1614,1,20906,194.1,80.3,93.7,220,20,11.8
1,3750,0,11200,194.1,80.3,93.7,220,20,11.8
0,179,0,72850,194.1,80.3,93.7,220,20,11.8
0,927,0,11684,194.1,80.3,93.7,220,20,11.8
0,1979,0,7555,194.1,80.3,93.7,220,20,11.8
0,4928,0,26834,206.1,11.9,76.1,220,20,11.8
0,268,0,16128,194.1,80.3,93.7,220,20,11.8
0,5651,0,7756,194.1,80.3,93.7,220,20,11.8
1,6302,0,3057,0,20,90.2,220,20,11.8
0,634,0,3900,194.1,80.3,93.7,220,20,11.8
0,891,0,11440,0,0,0,220,20,11.8
0,14,0,3383,194.1,80.3,93.7,220,20,11.8
1,207,0,225635,194.1,80.3,93.7,220,20,11.8
0,2959,0,2781,194.1,80.3,93.7,220,20,11.8
0,60,0,10457,194.1,80.3,93.7,220,20,11.8
0,2278,0,21083,194.1,80.3,93.7,220,20,11.8
0,5467,0,9730,22.7,70.7,61.6,220,20,11.8
0,2184,0,15767,0,0,0,220,20,11.8
0,270,0,471,194.1,80.3,93.7,220,20,11.8
0,25110,0,25170,194.1,80.3,93.7,220,20,11.8
0,5580,0,4999,194.1,80.3,93.7,220,20,11.8
0,9954,0,50396,344.7,79.3,81.6,220,20,11.8
0,164,0,104,194.1,80.3,93.7,220,20,11.8
1,4720,0,4415,194.1,80.3,93.7,220,20,11.8
1,12384,0,20242,194.1,80.3,93.7,220,20,11.8
1,677,0,43657,194.1,80.3,93.7,220,20,11.8
1,9510,0,17008,194.1,80.3,93.7,220,20,11.8
0,214,0,22016,194.1,80.3,93.7,220,20,11.8
1,17929,0,26740,194.1,80.3,93.7,220,20,11.8
1,207,0,225635,194.1,80.3,93.7,220,20,11.8
0,7834,0,379805,194.1,80.3,93.7,220,20,11.8
0,52,0,1406,194.1,80.3,93.7,220,20,11.8
0,829,0,6755,194.1,80.3,93.7,220,20,11.8
0,15533,0,76256,194.1,80.3,93.7,220,20,11.8
0,359,0,1388,0,80,92.2,220,20,11.8
0,384,0,2415,194.1,80.3,93.7,220,20,11.8
1,0,0,2396,194.1,80.3,93.7,220,20,11.8
1,1094,0,9459,194.1,80.3,93.7,220,20,11.8
1,42,0,1159,194.1,80.3,93.7,220,20,11.8
0,542,0,889,194.1,80.3,93.7,220,20,11.8
0,5515,0,12078,194.1,80.3,93.7,220,20,11.8
1,0,0,481,194.1,80.3,93.7,220,20,11.8
0,5999,0,71353,232.7,80.2,92.9,220,20,11.8
0,116,0,3782,206.2,72.8,85.1,220,20,11.8
0,852,0,5611,194.1,80.3,93.7,220,20,11.8
0,30,0,109956,275.8,65.8,76.9,220,20,11.8
0,491,0,16464,194.1,90.8,67.8,220,20,11.8
0,1494,0,2895,194.1,80.3,93.7,220,20,11.8
0,42,1,21262,194.1,80.3,93.7,220,20,11.8
0,112,0,4881,194.1,80.3,93.7,220,20,11.8
1,478,0,37842,194.1,80.3,93.7,220,20,11.8
0,3368,0,112747,194.1,80.3,93.7,220,20,11.8
0,990,0,201225,194.1,80.3,93.7,220,20,11.8
0,4546,0,1382,194.1,80.3,93.7,220,20,11.8
0,2243,0,4636,194.1,80.3,93.7,220,20,11.8
1,586,0,9565,194.1,80.3,93.7,220,20,11.8
0,42,0,619,194.1,80.3,93.7,220,20,11.8
0,370,0,3337,194.1,80.3,93.7,220,20,11.8
1,759,0,19427,194.1,80.3,93.7,220,20,11.8
0,626,0,5490,194.1,80.3,93.7,220,20,11.8
0,24,0,2795,194.1,80.3,93.7,220,20,11.8
1,8605,0,12158,194.1,80.3,93.7,220,20,11.8
0,3786,0,21111,194.1,80.3,93.7,220,20,11.8
0,16,0,8020,194.1,80.3,93.7,220,20,11.8
0,145,0,17581,26.1,96.5,100,220,20,11.8
0,57,0,41166,194.1,80.3,93.7,220,20,11.8
0,867,0,5093,194.1,80.3,93.7,220,20,11.8
1,4716,0,9006,194.1,80.3,93.7,220,20,11.8
0,6431,0,9740,194.1,80.3,93.7,220,20,11.8
1,1372,0,14014,194.1,80.3,93.7,220,20,11.8
0,3800,0,60896,194.1,80.3,93.7,220,20,11.8
0,25,0,31854,194.1,80.3,93.7,220,20,11.8
0,643,0,188284,194.1,80.3,93.7,220,20,11.8
1,435,0,19152,194.1,80.3,93.7,220,20,11.8
0,103,0,7790,194.1,80.3,93.7,220,20,11.8
1,3535,0,4814,181.9,92.3,92.2,220,20,11.8
0,1142,0,87627,206.2,72.8,85.1,220,20,11.8
1,4615,0,101859,194.1,80.3,93.7,220,20,11.8
0,11484,0,4267,194.1,80.3,93.7,220,20,11.8
0,231,0,816,194.1,80.3,93.7,220,20,11.8
1,6981,0,3713,352.5,79.2,86.7,220,20,11.8
0,3763,0,2535,194.1,80.3,93.7,220,20,11.8
0,3967,0,20943,194.1,80.3,93.7,220,20,11.8
0,791,0,13787,194.1,80.3,93.7,220,20,11.8
1,27,0,45847,194.1,80.3,93.7,220,20,11.8
1,4244,0,9820,112.7,80.2,92.9,220,20,11.8
0,135,0,5178,194.1,80.3,93.7,220,20,11.8
0,273,0,18498,194.1,80.3,93.7,220,20,11.8
0,10092,0,68906,194.1,80.3,93.7,220,20,11.8
0,1130,1,2288,194.1,80.3,93.7,220,20,11.8
0,0,0,6321,194.1,80.3,93.7,220,20,11.8
0,1288,0,16920,194.1,80.3,93.7,220,20,11.8
1,14224,0,20137,194.1,80.3,93.7,220,20,11.8
0,37,0,621,194.1,80.3,93.7,220,20,11.8
0,2703,0,31461,194.1,80.3,93.7,220,20,11.8
0,10,0,569,194.1,80.3,93.7,220,20,11.8
0,0,0,66,194.1,80.3,93.7,220,20,11.8
1,10223,0,26876,194.1,80.3,93.7,220,20,11.8
0,1988,0,13927,194.1,80.3,93.7,220,20,11.8
1,1528,0,25379,265.9,50,80,220,20,11.8
0,1,0,616,194.1,80.3,93.7,220,20,11.8
1,42451,0,22365,194.3,17.2,47.8,220,20,11.8
1,20,0,227,194.1,80.3,93.7,220,20,11.8
0,8272,0,9721,194.1,80.3,93.7,220,20,11.8
1,599,0,636,194.1,80.3,93.7,220,20,11.8
1,672,0,29944,194.1,80.3,93.7,220,20,11.8
1,20,0,227,194.1,80.3,93.7,220,20,11.8
1,435,0,19153,194.1,80.3,93.7,220,20,11.8
0,1437,0,18294,194.1,80.3,93.7,220,20,11.8
1,4629,2,29456,194.1,80.3,93.7,220,20,11.8
1,456,0,7916,186.9,80.2,92.9,220,20,11.8
0,587,0,23362,194.1,80.3,93.7,220,20,11.8
0,607,0,971,194.1,80.3,93.7,220,20,11.8
0,2732,0,19849,194.1,80.3,93.7,220,20,11.8
0,1110,0,14042,194.1,80.3,93.7,220,20,11.8
1,11509,0,14718,194.1,80.3,93.7,220,20,11.8
1,6540,0,13371,194.1,80.3,93.7,220,20,11.8
1,1359,1,3599,42.8,69.8,100,220,20,11.8
0,4783,0,142263,194.1,80.3,93.7,220,20,11.8
0,283,1,6961,194.1,80.3,93.7,220,20,11.8
0,0,0,5174,194.1,80.3,93.7,220,20,11.8
1,186,0,37443,194.1,80.3,93.7,220,20,11.8
0,8,0,2977,194.1,80.3,93.7,220,20,11.8
0,88,0,842,194.1,80.3,93.7,220,20,11.8
1,52438,0,53382,194.1,80.3,93.7,220,20,11.8
1,24,0,1571,194.1,80.3,93.7,220,20,11.8
0,1677,0,2085,194.1,80.3,93.7,220,20,11.8
1,585,0,4534,194.1,80.3,93.7,220,20,11.8
0,359,0,597,194.1,80.3,93.7,220,20,11.8
0,336,1,144659,194.1,80.3,93.7,220,20,11.8
0,2366,0,10853,194.1,80.3,93.7,220,20,11.8
0,370,0,2935,194.1,80.3,93.7,220,20,11.8
0,776,0,15008,50.6,100,100,220,20,11.8
1,9626,0,16328,194.1,80.3,93.7,220,20,11.8
0,1322,0,69032,194.1,80.3,93.7,220,20,11.8
0,6996,0,16034,194.1,80.3,93.7,220,20,11.8
0,1012,0,4937,194.1,80.3,93.7,220,20,11.8
1,1027,0,20727,194.1,80.3,93.7,220,20,11.8
1,545,0,697,194.1,80.3,93.7,220,20,11.8
0,744,0,11390,194.1,80.3,93.7,220,20,11.8
0,352,0,214,194.1,80.3,93.7,220,20,11.8
0,281,0,11723,194.1,80.3,93.7,220,20,11.8
1,833,1,1464,194.1,80.3,93.7,220,20,11.8
1,428,0,2252,194.1,80.3,93.7,220,20,11.8
0,1116,1,114819,194.1,80.3,93.7,220,20,11.8
0,6687,0,26877,194.1,80.3,93.7,220,20,11.8
0,3000,0,3954,194.1,80.3,93.7,220,20,11.8
1,1528,0,25380,265.9,50,80,220,20,11.8
1,0,0,56,194.1,80.3,93.7,220,20,11.8
1,14142,1,49424,17.2,75.2,98,220,20,11.8
0,633,0,6888,194.1,80.3,93.7,220,20,11.8
0,205,0,878,194.1,80.3,93.7,220,20,11.8
0,5021,0,22635,194.1,80.3,93.7,220,20,11.8
0,9326,0,8208,194.1,80.3,93.7,220,20,11.8
0,247,0,197500,194.1,80.3,93.7,220,20,11.8
0,1,0,6353,194.1,80.3,93.7,220,20,11.8
1,21794,0,26177,194.1,80.3,93.7,220,20,11.8
1,3280,0,7308,60,93.7,18.8,220,20,11.8
1,560,0,930,194.1,80.3,93.7,220,20,11.8
0,13220,0,75151,194.1,80.3,93.7,220,20,11.8
1,2099,0,4943,194.1,80.3,93.7,220,20,11.8
0,35,0,3075,194.1,80.3,93.7,220,20,11.8
0,1167,0,5754,194.1,80.3,93.7,220,20,11.8
1,3055,0,11062,194.1,80.3,93.7,220,20,11.8
1,10340,0,15949,194.1,80.3,93.7,220,20,11.8
0,1633,0,14021,194.1,80.3,93.7,220,20,11.8
1,13034,0,13698,300,90.2,80,90,7.7,10.2
0,4162,2,26527,0,100,60,300,19.2,10.2
0,3172,0,28459,0,0,5.9,0,0,10.2
0,97,0,22562,196.8,84.4,78,197.9,89,92.9
1,45,0,12972,206.1,11.9,76.1,176.9,87.8,87.1
0,1758,0,21337,211.1,93.9,90.2,216,34.9,16.9
0,1419,0,13919,250,4.1,56.9,0,0,11.4
0,310,0,2429,120,100,70.2,210,6.5,12.2
1,179,0,320,109.9,36.3,83.1,80,9.7,12.2
1,992,0,57126,196,100,70.6,200.5,57.7,27.8
0,4,0,20867,194.1,80.3,93.7,220,85.5,83.9
1,7847,0,17221,206.2,72.8,85.1,185.5,25.6,16.9
1,365,0,59008,206.8,25.2,87.1,203.6,65.6,36.5
1,294,0,330,351.9,30.2,96.1,280.7,66.7,16.5
0,0,0,33057,211.1,78.7,42.4,198.2,79.9,66.3
0,8670,0,19090,211.1,78.7,42.4,198.2,79.9,66.3
0,8256,0,39869,211.1,78.7,42.4,198.2,79.9,66.3
0,9104,0,30723,352.5,79.2,86.7,198.2,79.9,66.3
1,1770,0,11957,0,0,0,72,79.5,17.3
0,7456,0,43632,229.9,100,70.2,100,41.4,22.7
0,544,0,9739,26.3,19.6,82,281.2,85,23.5
1,2542,0,66676,303.9,100,60,300,73.9,18
0,106,0,6047,210,66.7,60,223,54.5,43.1
0,353,0,3874,206.1,11.9,76.1,217.4,54.5,43.9
1,473,0,2973,156,65.7,38.8,195,80,100
1,15,0,52382,331.1,78.8,94.1,122,68.6,68.6
1,8304,0,18209,0,0,13.3,186.5,75.8,95.7
0,417,0,43922,32.9,85.7,96.1,115,64.9,58
1,22,0,3381,1.4,98.3,69,359,93.5,24.3
1,8723,0,9527,265.9,50,80,270,17.6,26.7
1,18918,0,6597,204.1,71.1,92.2,241.9,76.9,94.9
0,462,0,14909,7.3,71.8,98.8,165.2,68,77.3
1,3411,0,11705,0,0,0,184.7,71,85.1
1,1048,0,3696,215.4,51.3,93.3,231,63.8,73.7
0,2569,0,4501,0,49.2,97.3,155.9,71.1,92.2
1,5737,0,32709,19.6,39.4,94.5,328,21.4,27.5
1,1415,0,53709,265.9,50,80,285,21.6,29
0,574,0,3601,178.1,22.9,54.9,323.7,100,27.8
0,326,0,4529,38.2,81.2,94.1,263.1,95.4,68.2
0,28,0,4034,184.3,7.1,77.6,225.9,61.7,75.7
1,562,0,3079,184.3,7.1,77.6,225.9,61.7,75.7
1,198,0,919,225.9,61.7,75.7,225.9,61.7,75.7
1,5727,0,31060,265.9,50,80,225.9,61.7,75.7
1,229,0,12217,0,20.5,61.2,0,97.3,29.4
0,10808,0,21086,196.3,36.2,87.8,196.2,66.4,87.5
1,1571,0,30146,189.1,92,92.9,36,46.1,29.8
1,21,0,710,278,65.2,72.2,213.5,57.8,70.6
1,563,0,60759,124,91.5,32.2,260.9,90.2,76.1
0,1138,0,20709,47.4,40.9,72.9,168.9,25,42.4
1,57979,0,17545,328,84.9,83.1,0,86.6,32.2
1,4800,0,8515,274.1,100,100,259.4,90.7,84.3
0,200,0,984,349.8,86.8,74.5,184.6,32,47.8
1,6,0,109435,0,88,84.7,0,87.4,34.1
0,4378,0,7729,71.6,59,65.1,300,51.7,34.1
1,17090,0,3562,174,59.9,85.1,331.6,21.8,34.1
0,20837,0,54691,0.3,82.8,86.7,31.8,72.5,35.7
0,5240,0,166834,0,0,0,300,100,36.1
1,497,0,33588,351.9,30.2,96.1,300,83.7,36.1
1,11019,0,25783,328.1,72,83.9,0,0,36.1
0,0,0,18186,344.7,79.3,81.6,235.2,39.7,61.2
0,75,0,1809,190.4,100,72.5,183.8,57.3,86.3
0,0,0,132532,190.4,100,72.5,183.8,57.3,86.3
1,62,0,697,225,96.3,94.5,183.8,57.3,86.3
0,1,0,133519,190.4,100,72.5,183.8,57.3,86.3
1,22,0,25372,190.4,100,72.5,183.8,57.3,86.3
0,21,0,134519,190.4,100,72.5,183.8,57.3,86.3
1,432,0,318,190.4,100,72.5,183.8,57.3,86.3
1,1022,0,5610,340.1,93.9,70.6,183.8,57.3,86.3
1,90747,0,35514,190.4,100,72.5,183.8,57.3,86.3
1,24702,0,34526,190.4,100,72.5,183.8,57.3,86.3
1,1159,0,8233,190.4,100,72.5,183.8,57.3,86.3
0,3466,0,86572,190.4,100,72.5,183.8,57.3,86.3
1,10840,0,35328,324,98,98,183.8,57.3,86.3
1,171,0,13054,351.9,30.2,96.1,183.8,57.3,86.3
0,12933,1,33692,190.4,100,72.5,183.8,57.3,86.3
1,3658,1,143411,109.9,36.3,83.1,183.8,57.3,86.3
1,1188,0,16267,190.4,100,72.5,183.8,57.3,86.3
1,12382,0,8164,190.4,100,72.5,183.8,57.3,86.3
1,38,0,153643,190.4,100,72.5,183.8,57.3,86.3
0,144,0,26169,190.4,100,72.5,183.8,57.3,86.3
0,59,0,4196,190.4,100,72.5,183.8,57.3,86.3
1,15965,0,29324,190.4,100,72.5,183.8,57.3,86.3
0,406,0,76069,190.4,100,72.5,183.8,57.3,86.3
1,16204,0,41759,190.4,100,72.5,183.8,57.3,86.3
0,285,0,1385,190.4,100,72.5,183.8,57.3,86.3
1,3432,0,2890,190.4,100,72.5,183.8,57.3,86.3
1,6197,0,11443,190.4,100,72.5,183.8,57.3,86.3
0,1,0,233,190.4,100,72.5,183.8,57.3,86.3
1,4578,0,4802,190.4,100,72.5,183.8,57.3,86.3
1,2,0,424,190.4,100,72.5,183.8,57.3,86.3
0,44,0,522,190.4,100,72.5,183.8,57.3,86.3
1,2973,0,8802,190.4,100,72.5,183.8,57.3,86.3
1,5339,0,15974,190.4,100,72.5,183.8,57.3,86.3
0,13201,0,6218,110.1,58.6,56.9,183.8,57.3,86.3
1,2981,0,21643,265.9,50,80,183.8,57.3,86.3
1,1463,0,828,190.4,100,72.5,183.8,57.3,86.3
1,7333,0,13409,190.4,100,72.5,183.8,57.3,86.3
0,2702,0,24779,190.4,100,72.5,183.8,57.3,86.3
0,684,0,3698,190.4,100,72.5,183.8,57.3,86.3
0,18964,0,35180,190.4,100,72.5,183.8,57.3,86.3
0,1238,0,63393,190.4,100,72.5,183.8,57.3,86.3
1,37,0,3017,190.4,100,72.5,183.8,57.3,86.3
1,3683,0,4790,190.4,100,72.5,183.8,57.3,86.3
0,90,0,26848,190.4,100,72.5,183.8,57.3,86.3
0,18964,0,35181,190.4,100,72.5,183.8,57.3,86.3
0,2424,0,9591,190.4,100,72.5,183.8,57.3,86.3
1,2626,0,19551,190.4,100,72.5,183.8,57.3,86.3
1,617,0,1686,190.4,100,72.5,183.8,57.3,86.3
1,59,0,6353,190.4,100,72.5,183.8,57.3,86.3
1,393,0,2134,190.4,100,72.5,183.8,57.3,86.3
1,188,0,998,190.4,100,72.5,183.8,57.3,86.3
0,81,0,50311,190.4,100,72.5,183.8,57.3,86.3
1,1080,0,23703,190.4,100,72.5,183.8,57.3,86.3
0,3975,0,99505,190.4,100,72.5,183.8,57.3,86.3
1,12,0,69596,190.4,100,72.5,183.8,57.3,86.3
1,7655,0,19524,190.4,100,72.5,183.8,57.3,86.3
0,85,0,32576,190.4,100,72.5,183.8,57.3,86.3
0,1,0,19021,190.4,100,72.5,183.8,57.3,86.3
0,14317,0,27045,0,0,0,183.8,57.3,86.3
0,5672,0,38410,190.4,100,72.5,183.8,57.3,86.3
0,1,0,24293,190.4,100,72.5,183.8,57.3,86.3
0,20918,0,4291,190.4,100,72.5,183.8,57.3,86.3
1,4709,1,9206,190.4,100,72.5,183.8,57.3,86.3
1,13690,0,11071,190.4,100,72.5,183.8,57.3,86.3
1,299,0,2955,190.4,100,72.5,183.8,57.3,86.3
1,3859,0,5428,190.4,100,72.5,183.8,57.3,86.3
0,3957,1,44577,206.1,11.9,76.1,183.8,57.3,86.3
0,2702,0,24781,190.4,100,72.5,183.8,57.3,86.3
1,390,1,2874,190.4,100,72.5,183.8,57.3,86.3
1,30417,0,21819,190.4,100,72.5,183.8,57.3,86.3
1,3293,0,7053,190.4,100,72.5,183.8,57.3,86.3
0,0,0,188808,190.4,100,72.5,183.8,57.3,86.3
1,1265,0,5580,190.4,100,72.5,183.8,57.3,86.3
1,4902,0,9131,190.4,100,72.5,183.8,57.3,86.3
1,1731,0,1219,340.1,93.9,70.6,183.8,57.3,86.3
1,353,0,5364,190.4,100,72.5,183.8,57.3,86.3
0,0,0,188808,190.4,100,72.5,183.8,57.3,86.3
1,757,0,61438,190.4,100,72.5,183.8,57.3,86.3
1,16414,0,22767,190.4,100,72.5,183.8,57.3,86.3
1,893,0,12425,190.4,100,72.5,183.8,57.3,86.3
1,4233,0,12498,340.1,93.9,70.6,183.8,57.3,86.3
0,19766,0,18509,190.4,100,72.5,183.8,57.3,86.3
0,3879,1,8193,190.4,100,72.5,183.8,57.3,86.3
0,189,0,2158,190.4,100,72.5,183.8,57.3,86.3
1,1,0,866,190.1,100,72.5,183.8,57.3,86.3
1,2178,0,9640,190.4,100,72.5,183.8,57.3,86.3
0,1642,0,453,190.5,100,60.4,183.8,57.3,86.3
0,6,0,5405,190.4,100,72.5,183.8,57.3,86.3
1,112,0,11428,265.9,50,80,183.8,57.3,86.3
0,949,0,18080,190.4,100,72.5,183.8,57.3,86.3
1,47,0,33565,190.4,100,72.5,183.8,57.3,86.3
1,208,0,12248,190.4,100,72.5,183.8,57.3,86.3
1,8001,0,8291,0,0,0,183.8,57.3,86.3
1,199,0,12086,190.4,100,72.5,183.8,57.3,86.3
0,2854,0,48668,190.4,100,72.5,183.8,57.3,86.3
1,15,0,50632,190.4,100,72.5,183.8,57.3,86.3
1,44446,0,57897,190.4,100,72.5,183.8,57.3,86.3
0,433,0,5080,190.4,100,72.5,183.8,57.3,86.3
0,3140,0,17741,190.4,100,72.5,183.8,57.3,86.3
0,7861,1,49495,190.4,100,72.5,183.8,57.3,86.3
1,7775,0,735,190.4,100,72.5,183.8,57.3,86.3
