gender,fav_number,tweet_count,retweet_count,sidebar_hue,sidebar_sat,sidebar_value,link_hue,link_sat,link_value,,
1,51448,79912,0,0,0,0,226,87.7,92.2,,
0,51426,27851,0,0,0,100,196,100,70.6,,
1,51072,14335,0,0,0,100,196,100,70.6,,
0,50519,44876,1,0,0,0,206.1,11.9,76.1,,
0,50410,29333,0,216.5,32,96.9,196,100,70.6,,
1,50233,46994,0,200,19,92.9,110.1,58.6,56.9,,
1,50199,175896,0,0,0,0,22.7,70.7,61.6,,
1,50029,88659,0,0,0,100,204.1,91.1,74.9,,
1,49927,17923,0,0,0,0,196.4,84.6,10.2,,
1,49889,21556,0,0,0,0,80,66.7,84.7,,
1,49884,26871,0,200,19,92.9,190.4,100,72.5,,
0,49824,51195,0,0,0,0,110.1,58.6,56.9,,
0,49626,6804,0,0,0,100,265.9,50,80,,
1,49609,30828,0,201.5,53.7,85.5,195,100,80,,
0,49530,37009,1,200,19,92.9,195,100,80,,
0,48807,32965,0,0,0,100,0,100,100,,
1,48607,36485,0,0,0,0,196,100,70.6,,
1,48473,11410,0,0,0,0,340,75,80,,
0,48429,72979,0,0,0,100,206.1,11.9,76.1,,
0,48282,71045,0,0,0,100,196,100,70.6,,
0,48225,51883,0,0,0,100,0,0,0,,
1,48135,54078,0,345.8,80.2,87.1,128.9,100,100,,
1,47952,186531,0,0,0,0,351.9,30.2,96.1,,
1,47952,186528,0,0,0,0,0,90.1,91,,
0,47771,39161,0,0,0,100,196,100,70.6,,
1,47204,71627,1,200,19,92.9,318,89.2,91,,
0,46829,858,0,0,0,0,63.8,42.9,85.9,,
1,46710,79119,0,0,0,100,196,100,70.6,,
0,46427,60022,1,0,0,0,0,100,100,,
1,46166,39769,0,0,0,100,196,100,70.6,,
1,46122,34903,0,0,0,0,206.1,11.9,76.1,,
1,46019,27238,0,200,19,92.9,180,96.7,47.8,,
0,45865,80870,0,0,0,0,196,100,70.6,,
1,45821,13530,1,0,0,100,206.1,11.9,76.1,,
1,45672,253491,0,0,0,100,0,0,0,,
1,45620,60114,1,0,0,0,196,100,70.6,,
1,45514,79641,0,0,0,0,0,98,98,,
1,45514,79641,0,0,0,0,352.5,79.2,86.7,,
1,45514,79641,0,0,0,0,352.5,79.2,86.7,,
1,45514,79641,0,0,0,0,352.5,79.2,86.7,,
1,45514,79641,0,0,0,0,352.5,79.2,86.7,,
1,45514,79641,0,0,0,0,352.5,79.2,86.7,,
1,45380,27858,0,0,0,0,206,45.2,98,,
1,45297,23951,0,0,0,100,196,100,70.6,,
0,45121,17699,0,0,0,0,196,100,70.6,,
0,45005,337245,0,0,0,0,196,100,70.6,,
1,44937,67944,0,0,0,100,68.1,89.2,91,,
1,44829,50147,1,200,19,92.9,0,0,0,,
1,44446,57897,0,183.8,57.3,86.3,16.8,82.4,35.7,,
1,44407,15199,0,200,19,92.9,304.3,17.9,92.2,,
0,44228,51133,1,0,0,0,300,100,60,,
0,44199,53693,0,220,20,11.8,351.9,30.2,96.1,,
0,44186,106301,0,0,0,0,196,100,70.6,,
1,44170,66692,0,0,0,100,303.9,100,60,,
1,44144,92378,0,0,0,100,196,100,70.6,,
1,44106,137280,0,0,0,100,0,100,60,,
0,43899,3296,0,0,0,0,9.4,21.6,58,,
0,43642,47121,0,200,19,92.9,196,100,70.6,,
1,43385,85709,1,0,0,100,26.5,74.8,80.8,,
0,43362,96737,0,0,0,100,196,100,70.6,,
0,43260,30939,0,200,19,92.9,196,100,70.6,,
0,43247,114955,0,0,0,100,196,100,70.6,,
1,43195,32164,0,0,0,0,196,100,70.6,,
1,42932,113945,8,0,0,100,258.5,100,5.1,,
1,42631,91208,0,352.1,47.7,50.2,265.9,50,80,,
1,42631,91208,0,352.1,47.7,50.2,301,84,29.4,,
0,42617,42457,0,85.7,40.1,61.6,0,0,0,,
0,42506,34522,0,216.5,32,96.9,196,100,70.6,,
1,42462,37709,0,0,0,0,110.1,58.6,56.9,,
1,42451,22365,0,220,20,11.8,196,100,70.6,,
0,42165,1111596,0,216.5,32,96.9,22.7,70.7,61.6,,
1,41739,30804,0,201.5,53.7,85.5,196,100,70.6,,
1,41714,140709,0,0,0,0,340.1,93.9,70.6,,
1,41647,72128,0,0,0,100,206.2,72.8,85.1,,
1,41548,16468,0,0,0,0,196,100,70.6,,
0,41218,21598,0,0,0,0,196,100,70.6,,
0,40867,82931,0,0,0,0,110.1,58.6,56.9,,
0,40836,66840,0,0,0,93.3,196,100,70.6,,
0,40303,36951,0,200,19,92.9,196,100,70.6,,
0,40253,25022,0,200,19,92.9,80.7,96.4,32.9,,
0,40174,46301,0,0,0,0,37.9,96.2,72.9,,
1,40054,39806,0,201.5,53.7,85.5,196,100,70.6,,
0,39934,67471,0,200,19,92.9,0,0,0,,
1,39913,12393,0,0,0,0,351.9,30.2,96.1,,
0,39911,7099,0,200,19,92.9,196,100,70.6,,
1,39892,32623,0,0,0,93.3,206.2,72.8,85.1,,
1,39873,32618,0,0,0,93.3,340.1,93.9,70.6,,
0,39806,32147,0,200,19,92.9,196,100,70.6,,
1,39756,60099,0,200,19,92.9,0,0,0,,
1,39607,54991,0,0,0,100,196,100,70.6,,
1,39602,18949,0,201.5,53.7,85.5,196,100,70.6,,
1,39304,43175,0,0,0,100,206.2,72.8,85.1,,
0,39300,111700,0,0,0,100,196,100,70.6,,
1,39065,70242,0,0,0,100,196,100,70.6,,
1,38680,34852,0,0,0,0,206.2,72.8,85.1,,
1,38598,28839,0,0,0,100,196,100,70.6,,
0,38502,17064,1,85.7,40.1,61.6,194.1,80.3,93.7,,
1,38350,39249,0,0,0,100,196,100,70.6,,
1,38257,120363,0,0,0,100,265.9,50,80,,
0,38133,16515,0,200,19,92.9,0,0,20,,
1,38084,938,0,200,19,92.9,196,100,70.6,,
1,38081,13642,0,0,0,100,0,0,0,,
1,38062,100161,0,0,0,0,196,100,70.6,,
0,37998,12867,0,0,0,100,0,0,0,,
1,37985,84274,0,0,0,93.3,196,100,70.6,,
0,37904,79229,0,0,0,93.3,196,100,70.6,,
1,37867,31020,0,0,0,0,144,81.9,67.1,,
1,37855,144277,1,0,0,93.3,199.1,100,70.2,,
0,37797,42322,1,0,0,100,206.2,72.8,85.1,,
1,37720,89306,0,0,0,100,265.9,50,80,,
0,37540,144710,0,0,0,0,196,100,70.6,,
1,37376,27246,0,0,0,100,196,100,70.6,,
1,37365,75890,0,0,0,100,196,100,70.6,,
1,37318,31462,0,0,0,0,194.1,80.3,93.7,,
0,37306,19112,0,200,19,92.9,16,100,100,,
1,37274,159645,0,0,0,100,206.1,11.9,76.1,,
1,37082,32236,0,332.9,93.2,85.9,180.8,67.9,82,,
1,36909,80949,0,0,0,87.5,196,100,70.6,,
1,36745,24968,0,0,0,100,352.5,79.2,86.7,,
1,36706,68623,0,0,0,0,196,100,70.6,,
1,36582,61726,0,0,0,100,336.2,88.8,87.8,,
0,36223,91583,0,0,0,100,0,98.7,92.9,,
1,36120,28196,0,0,0,100,196,100,70.6,,
0,36025,132118,1,0,0,0,196,100,70.6,,
1,35992,14364,1,200,19,92.9,196,100,70.6,,
0,35946,25917,0,0,0,0,279.9,100,70.2,,
0,35785,24390,0,200,19,92.9,196,100,70.6,,
1,35626,16542,0,0,0,0,196,100,70.6,,
1,35415,27861,0,200,19,92.9,42.8,69.8,100,,
1,35222,51442,0,0,0,100,196,100,70.6,,
0,35039,104888,0,0,0,100,196,100,70.6,,
1,34801,2365,0,0,0,0,80.7,96.4,32.9,,
1,34765,189283,0,200,19,92.9,190.4,100,72.5,,
1,34754,83365,0,0,0,0,340.1,93.9,70.6,,
1,34710,3094,0,200,19,92.9,196,100,70.6,,
1,34662,25807,0,0,0,0,17.2,75.2,98,,
0,34606,168388,0,54.7,36.6,72.9,106.2,84,95.3,,
0,34580,168342,0,54.7,36.6,72.9,7.1,94.9,83.9,,
1,34495,16638,0,0,0,0,13.7,94.3,34.5,,
0,34421,331834,0,0,0,100,294.9,80.2,92.9,,
0,34362,129370,0,0,0,100,196,100,70.6,,
1,34314,31480,0,0,0,0,206.2,72.8,85.1,,
1,34308,37146,1,200,19,92.9,196,100,70.6,,
1,34305,32858,0,200,19,92.9,0,100,100,,
0,34288,149005,0,0,0,100,180,68.8,69,,
1,34278,97826,0,0,0,0,196,100,70.6,,
1,34206,75589,0,300,2,96.1,17.2,75.2,98,,
0,34165,31606,0,0,0,0,45,65.7,81.2,,
1,34086,75193,0,0,0,87.5,228,16.1,12.2,,
1,33983,15179,0,200,19,92.9,300,7.9,74.1,,
1,33941,773,0,200,19,92.9,196,100,70.6,,
1,33925,13292,0,200,19,92.9,196,100,70.6,,
0,33909,12334,0,0,0,100,0,0,0,,
0,33834,29190,1,0,0,0,316,91.1,92.2,,
0,33831,33171,0,0,0,0,196,100,70.6,,
1,33804,69947,0,0,0,0,0,100,100,,
1,33783,77158,0,0,0,100,0,0,0,,
1,33752,39851,0,0,0,100,196,100,70.6,,
1,33752,39851,0,0,0,100,196,100,70.6,,
0,33697,17493,0,0,0,100,0,0,0,,
0,33672,95732,0,0,0,100,196,100,70.6,,
0,33665,17342,0,200,19,92.9,206.1,11.9,76.1,,
0,33485,90197,0,0,0,93.3,319,100,98,,
1,33484,35314,0,201.5,53.7,85.5,196,100,70.6,,
1,33430,37695,0,0,0,0,196,100,70.6,,
0,33322,182624,0,0,0,0,196,100,70.6,,
1,33279,18739,0,200,19,92.9,196.8,84.4,78,,
0,33118,92792,0,200,41.7,14.1,196,100,70.6,,
0,33017,84135,0,216.5,32,96.9,206.2,72.8,85.1,,
1,32929,109543,0,200,19,92.9,109.9,36.3,83.1,,
1,32892,8891,0,200,19,92.9,238,94.4,49,,
1,32886,356443,0,200,19,92.9,0,0,0,,
1,32886,356443,0,200,19,92.9,196,100,70.6,,
1,32886,356443,0,200,19,92.9,196,100,70.6,,
1,32852,39489,0,200,19,92.9,208,100,100,,
1,32776,1891,0,200,19,92.9,196,100,70.6,,
1,32675,15826,0,0,0,0,0,0,0,,
1,32663,172965,0,0,0,100,352.5,79.2,86.7,,
0,32550,68432,0,200,19,92.9,235.9,66.7,43.5,,
0,32530,67845,0,0,0,100,300,81.1,56.1,,
0,32515,97348,0,0,0,100,240,16.3,96.5,,
1,32163,168959,0,200,19,92.9,106.2,84,95.3,,
0,32155,26013,0,0,0,0,17.2,75.2,98,,
1,32153,59624,0,0,0,0,196,100,70.6,,
0,32145,88632,0,200,19,92.9,206.2,72.8,85.1,,
0,32136,28276,0,200,19,92.9,17.2,75.2,98,,
0,32065,134122,0,0,0,100,194.1,80.3,93.7,,
1,31788,42872,0,0,0,0,0,0,0,,
0,31727,71500,0,200,19,92.9,196,100,70.6,,
0,31662,73223,0,0,0,100,196,100,70.6,,
1,31567,31078,1,0,0,0,352.5,79.2,86.7,,
1,31477,305112,0,200,19,92.9,206.2,72.8,85.1,,
0,31474,6811,0,0,0,0,109.9,36.3,83.1,,
1,31358,196614,0,200,19,92.9,200,13.6,8.6,,
0,31342,51175,0,0,0,100,196,100,70.6,,
1,31261,20973,0,0,0,100,252,94.4,56.1,,
1,31206,85906,0,0,56.7,85.1,352.5,79.2,86.7,,
1,31114,18885,0,200,19,92.9,196,100,70.6,,
1,31101,60955,0,200,19,92.9,194.1,80.3,93.7,,
1,31056,143748,0,0,0,100,338,46.9,82,,
0,30956,76407,0,0,0,100,196,100,70.6,,
1,30942,13065,0,0,0,100,352.5,79.2,86.7,,
1,30896,54769,0,0,0,0,196,100,70.6,,
1,30764,7990,0,200,19,92.9,196,100,70.6,,
1,30725,73328,0,0,0,100,110.1,58.6,56.9,,
1,30698,735,0,200,19,92.9,196,100,70.6,,
1,30583,38998,0,0,0,0,196.8,84.4,78,,
1,30569,110776,0,200,19,92.9,206,45.2,98,,
1,30550,44202,0,201.5,53.7,85.5,9,94,92.2,,
1,30530,14114,0,193.3,7.6,92.9,196,100,70.6,,
0,30488,148783,0,0,0,100,196,100,70.6,,
1,30436,16303,0,200,19,92.9,290,91,96.1,,
0,30419,118248,0,0,0,100,300,3.8,52.2,,
1,30417,21819,0,183.8,57.3,86.3,26,43.4,47.8,,
1,30306,91119,0,0,0,100,196,100,70.6,,
1,30121,62377,0,200,19,92.9,180,66.7,60,,
1,30055,13194,0,0,0,0,194.1,80.3,93.7,,
0,29956,27061,0,200,19,92.9,0,0,0,,
1,29942,22158,0,0,0,100,265.9,50,80,,
1,29880,7290,0,200,19,92.9,196,100,70.6,,
1,29687,11587,0,200,19,92.9,195,100,80,,
1,29566,28053,0,52.2,96.1,50.2,196,100,70.6,,
1,29484,65178,0,0,0,100,196,100,70.6,,
0,29437,19436,0,200,19,92.9,194.1,80.3,93.7,,
0,29410,85802,0,0,0,0,196,100,70.6,,
0,29399,31746,0,0,0,100,196,100,70.6,,
0,29348,55752,0,200,19,92.9,340,75,80,,
0,29325,50261,0,200,19,92.9,196,100,70.6,,
1,29271,194309,0,0,0,100,352.5,79.2,86.7,,
0,29233,40601,0,200,19,92.9,206.1,11.9,76.1,,
0,29208,67681,0,0,0,100,134.3,94.4,42,,
0,29163,208725,0,0,0,100,0,100,60,,
1,29140,24556,0,164.8,42.9,83.1,229.8,94.3,76.1,,
1,29026,9610,0,0,0,0,190.4,100,72.5,,
0,28996,27928,0,0,0,0,355.1,100,100,,
0,28746,64469,0,200,19,92.9,11.1,87.7,80,,
0,28721,35305,0,200,19,92.9,110.1,58.6,56.9,,
1,28714,39857,0,200,19,92.9,196,100,70.6,,
1,28667,34437,0,0,0,0,110.1,58.6,56.9,,
1,28643,35606,0,0,0,0,307.1,87.8,90.2,,
0,28476,9566,0,0,0,0,194.1,80.3,93.7,,
0,28369,73683,0,0,0,100,0,100,43.9,,
1,28356,7853,0,200,19,92.9,196,100,70.6,,
1,28320,302391,0,85.7,40.1,61.6,107,90.2,16.1,,
0,28285,15992,0,0,0,0,109.9,36.3,83.1,,
0,28209,13244,1,200,19,92.9,60,93.8,31.4,,
1,28180,22389,0,0,0,100,196,100,70.6,,
0,28049,14601,0,216.5,32,96.9,196,100,70.6,,
1,28018,14718,0,200,19,92.9,190.4,100,72.5,,
1,27949,10514,0,200,19,92.9,196,100,70.6,,
1,27908,14500,0,0,0,100,110.1,58.6,56.9,,
0,27902,107333,0,0,0,0,15.3,97.8,53.3,,
0,27901,39977,0,340,75,80,206.2,72.8,85.1,,
0,27901,17691,0,0,0,0,0,0,0,,
0,27883,16500,1,0,0,0,196,100,70.6,,
0,27773,135722,0,99.6,21.4,86.3,196,100,70.6,,
0,27772,69717,0,200,19,92.9,196,100,70.6,,
0,27771,69717,0,200,19,92.9,196,100,70.6,,
1,27753,69585,0,200,19,92.9,196,100,70.6,,
1,27753,44230,0,200,19,92.9,196,100,70.6,,
1,27748,44217,0,200,19,92.9,196,100,70.6,,
0,27743,58741,0,0,0,100,240,100,100,,
1,27479,69826,0,0,0,0,196,100,70.6,,
1,27447,35432,0,0,0,0,196,100,70.6,,
0,27339,126808,0,0,0,0,110.1,58.6,56.9,,
1,27264,34456,0,0,0,100,0,100,100,,
1,27235,22672,0,0,0,93.3,26,94,98,,
0,27186,100112,1,200,19,92.9,265.9,50,80,,
1,27120,65035,0,200,19,92.9,196,100,70.6,,
0,27010,101317,0,200,19,92.9,331,96.8,98,,
1,26992,26347,0,200,19,92.9,196,100,70.6,,
1,26990,6923,0,200,19,92.9,206.2,72.8,85.1,,
0,26946,113936,0,0,0,100,268.2,100,70.2,,
0,26880,51975,0,200,19,92.9,265.9,50,80,,
1,26834,95567,1,0,0,100,352.5,79.2,86.7,,
1,26820,65640,0,0,0,100,0,0,0,,
1,26773,96269,0,200,19,92.9,0,0,0,,
1,26721,37290,0,0,0,0,196,100,70.6,,
1,26706,30785,0,0,0,100,80.7,96.4,32.9,,
1,26629,127589,0,200,19,92.9,196,100,70.6,,
1,26581,18043,0,200,19,92.9,0,0,0,,
1,26549,33459,0,0,0,100,12,100,100,,
1,26481,9383,0,200,19,92.9,357.9,100,32.9,,
1,26444,29641,0,200,19,92.9,196,100,70.6,,
0,26216,16215,0,0,0,0,0,0,0,,
1,26199,16768,0,200,19,92.9,32.9,94,98,,
0,26112,67356,0,0,0,0,195,100,80,,
1,26100,43306,0,200,19,92.9,196,100,70.6,,
1,26097,12160,0,0,0,0,194.1,80.3,93.7,,
0,26007,27136,0,0,0,0,196,100,70.6,,
0,25931,31123,0,0,0,100,206.2,72.8,85.1,,
0,25816,32911,1,200,19,92.9,206.2,72.8,85.1,,
1,25797,66049,0,0,0,0,196,100,70.6,,
1,25755,16887,2,0,0,0,261.1,44.1,63.1,,
0,25694,64994,0,0,0,100,292.7,15.1,85.5,,
1,25615,43894,0,0,0,0,325.2,40.9,84.3,,
1,25577,129846,0,0,0,0,196,100,70.6,,
1,25525,14195,0,0,0,100,196,100,70.6,,
1,25446,56452,0,0,0,100,206.2,72.8,85.1,,
0,25268,13578,0,200,19,92.9,331.1,72.2,89,,
1,25258,66145,0,0,0,100,196,100,70.6,,
1,25231,48535,0,0,0,100,0,0,0,,
1,25203,12663,0,0,0,100,304.5,75.3,96.9,,
1,25152,28060,0,0,0,100,177.7,90.3,56.9,,
0,25116,23965,0,0,0,0,196,100,70.6,,
0,25115,77053,0,0,0,0,109.9,36.3,83.1,,
0,25110,25170,0,220,20,11.8,42.8,69.8,100,,
0,25044,26825,0,0,0,93.3,196,100,70.6,,
1,25032,58336,0,0,0,100,0,95,54.9,,
1,25013,17634,0,0,0,100,196,100,70.6,,
0,24849,72365,0,200,19,92.9,196,100,70.6,,
0,24804,50065,0,216.5,32,96.9,354.7,95.1,80,,
0,24727,82721,0,0,0,100,14.9,92,92.9,,
1,24702,34526,0,183.8,57.3,86.3,60,2.2,52.9,,
0,24674,6340,0,0,0,93.3,196,100,70.6,,
1,24671,59509,0,0,0,100,196,100,70.6,,
1,24653,49711,0,0,0,0,206.1,11.9,76.1,,
1,24613,12484,0,0,0,0,193.9,83.8,74.9,,
1,24595,10874,0,0,0,0,196,100,70.6,,
0,24593,71098,0,200,19,92.9,196,100,70.6,,
0,24593,71098,0,200,19,92.9,196,100,70.6,,
0,24593,71098,0,200,19,92.9,196,100,70.6,,
0,24592,71087,0,200,19,92.9,196,100,70.6,,
1,24592,7520,0,200,19,92.9,28.5,95.3,50.2,,
1,24591,24206,0,200,19,92.9,196,100,70.6,,
0,24385,50305,0,0,0,100,352.5,79.2,86.7,,
1,24374,19305,0,0,0,0,265.9,50,80,,
0,24349,40524,0,200,19,92.9,351.9,30.2,96.1,,
1,24226,47258,0,201.5,53.7,85.5,15.3,97.8,53.3,,
0,24143,27058,0,0,0,93.3,0,0,0,,
0,24077,50942,20,0,0,100,336,94.2,81.2,,
1,24062,130860,0,0,0,0,80.7,96.4,32.9,,
1,24045,37197,0,0,0,100,211.1,92.2,60,,
1,24008,11408,0,0,0,100,206.1,11.9,76.1,,
1,23981,29861,0,0,0,100,0,0,69,,
0,23928,41869,0,200,19,92.9,7.1,24.9,92.9,,
0,23924,13262,0,200,19,92.9,277.8,67.6,80,,
0,23890,164610,0,234.9,94.4,49,0,0,0,,
0,23872,33597,0,0,0,100,351.9,30.2,96.1,,
0,23818,49589,0,0,0,100,196,100,70.6,,
0,23811,31242,2,200,19,92.9,320,60,3.9,,
0,23798,26382,0,0,0,100,240,100,100,,
0,23795,17628,0,0,0,100,196,100,70.6,,
1,23793,25723,0,200,19,92.9,240,100,100,,
0,23748,40972,2,200,19,92.9,196,100,70.6,,
1,23697,35809,0,200,19,92.9,196,100,70.6,,
1,23619,88691,0,0,0,100,232.8,28.4,80,,
1,23590,42155,0,200,19,92.9,194.1,80.3,93.7,,
1,23531,51351,0,0,0,93.3,265.9,50,80,,
1,23498,48794,2,0,0,100,196,100,70.6,,
1,23445,88890,0,0,0,100,0,0,0,,
0,23428,31523,0,0,0,93.3,196,100,70.6,,
0,23393,32357,0,0,0,100,352.5,79.2,86.7,,
1,23271,2933,0,200,19,92.9,352.5,79.2,86.7,,
0,23259,5586,0,0,0,100,196,100,70.6,,
0,23188,14754,0,200,19,92.9,351.9,30.2,96.1,,
1,23186,32765,0,0,0,0,80.7,96.4,32.9,,
0,23183,32984,0,200,19,92.9,0,88.7,38,,
0,23156,131658,0,0,0,100,180,100,3.9,,
1,23146,15227,0,201.5,53.7,85.5,326,91.6,60.4,,
1,23134,30310,0,200,19,92.9,0,100,60,,
1,23108,63626,0,0,0,100,273.2,96.3,63.9,,
0,23058,71453,0,200,19,92.9,193.3,6.1,58,,
1,22956,33819,0,0,0,93.3,93.1,92.2,90.2,,
1,22923,23571,0,0,0,100,300,3.3,23.9,,
1,22877,34482,0,0,0,93.3,0,100,100,,
1,22836,44410,0,193.3,7.6,92.9,265.9,50,80,,
