gender,created,fav_number,tweet_count,retweet_count,tweet_location,user_timezone,link_hue,link_sat,link_vue,sidebar_hue,sidebar_sat,sidebar_vue
0,09/29/2010,39,217794,0,1,1,109.9,36.3,83.1,0,0,100
1,07/12/2013,1180,214521,0,0,0,0,0,0,0,0,93.3
1,04/19/2014,15860,214512,0,1,1,196,100,70.6,200,19,92.9
1,11/18/2009,100,214390,0,1,1,324,44,98,0,0,100
0,02/22/2010,36,214181,0,1,1,352.5,79.2,86.7,0,0,0
0,02/22/2010,62989,213945,0,1,1,0,0,0,0,0,0
1,09/21/2009,1663,213360,0,1,1,339.8,93.9,70.6,0,0,100
1,09/21/2009,1663,213360,0,1,1,339.8,93.9,70.6,0,0,100
1,09/21/2009,1663,213360,0,1,1,339.8,93.9,70.6,0,0,100
0,04/25/2010,0,213093,0,0,1,196,100,70.6,200,19,92.9
0,04/06/2010,264,212774,0,1,1,194.1,80.3,93.7,220,20,11.8
0,09/07/2013,108,211618,0,1,0,196,100,70.6,200,19,92.9
1,08/03/2013,0,209289,0,0,0,196,100,70.6,200,19,92.9
0,07/09/2007,29163,208725,0,1,1,110.1,58.6,56.9,0,0,100
1,05/17/2008,6840,208522,0,1,1,0,100,60,0,0,87.5
1,05/22/2012,142892,207268,0,1,1,0,100,100,201.5,53.7,85.5
1,11/25/2008,376,204631,0,1,1,208.8,16.9,58,210.5,29.1,76.9
0,01/28/2010,1260,204293,0,1,1,352.5,79.2,86.7,0,0,0
0,01/28/2010,1260,204293,0,1,1,352.5,79.2,86.7,0,0,0
0,06/25/2009,193,204285,0,1,1,194.1,80.3,93.7,220,20,11.8
1,08/16/2012,13642,203546,0,1,1,352.5,79.2,86.7,0,0,0
1,06/03/2009,75953,203194,0,1,0,0,100,100,201.5,53.7,85.5
0,02/24/2009,4067,203044,0,0,1,17.2,75.2,98,0,0,0
0,09/04/2009,990,201225,0,1,1,194.1,80.3,93.7,220,20,11.8
0,05/20/2014,8671,200562,0,0,1,196,100,70.6,200,19,92.9
0,05/20/2014,8671,200561,0,0,1,196,100,70.6,200,19,92.9
0,05/20/2014,8671,200560,0,0,1,196,100,70.6,200,19,92.9
0,03/15/2008,14800,200555,0,1,0,351.9,30.2,96.1,216.5,32,96.9
1,07/01/2010,4550,199805,0,0,0,80.7,96.4,32.9,0,0,100
0,08/26/2009,142,199740,0,1,1,196,100,70.6,99.6,21.4,86.3
0,04/10/2009,7,199474,0,1,1,196,100,70.6,200,19,92.9
0,07/15/2009,357,199321,0,1,1,344.7,79.3,81.6,85.7,40.1,61.6
0,03/10/2014,17468,198930,0,1,1,196,100,70.6,200,19,92.9
0,07/26/2009,247,197500,0,1,1,194.1,80.3,93.7,220,20,11.8
1,11/19/2009,929,197432,0,1,1,271.1,13.9,76.1,0,0,100
1,12/02/2015,31358,196614,0,0,1,196,100,70.6,200,19,92.9
0,05/18/2009,921,196470,0,1,1,200,13.6,8.6,0,0,0
0,12/02/2011,1551,195864,0,1,1,216.1,100,60,0,0,100
1,11/21/2014,4,194907,0,0,0,196,100,70.6,200,19,92.9
1,11/21/2014,4,194907,0,0,0,196,100,70.6,200,19,92.9
1,11/21/2014,4,194907,0,0,0,196,100,70.6,200,19,92.9
1,09/06/2009,4101,194607,0,1,1,54.1,91.1,96.9,190.1,98,100
0,07/22/2009,67,194523,0,1,1,196,100,70.6,200,19,92.9
1,10/08/2009,29271,194309,0,1,1,188.6,30.4,9,0,0,100
1,10/28/2008,1335,193908,0,1,1,352.5,79.2,86.7,0,0,100
0,12/24/2009,984,192939,0,1,1,15.3,97.8,53.3,0,0,100
0,03/02/2011,12,191909,0,1,0,196,100,70.6,200,19,92.9
1,09/03/2009,3095,191834,1,1,1,15.3,97.8,53.3,45,1.9,82.7
1,02/13/2015,34765,189283,0,1,1,196,100,70.6,200,19,92.9
0,11/28/2008,0,188808,0,0,1,190.4,100,72.5,183.8,57.3,86.3
0,11/28/2008,0,188808,0,0,1,190.4,100,72.5,183.8,57.3,86.3
1,07/06/2011,75973,188351,0,1,1,196,100,70.6,200,19,92.9
0,02/21/2011,643,188284,0,1,1,194.1,80.3,93.7,220,20,11.8
0,06/15/2010,1592,188235,1,1,1,0,0,0,0,0,93.3
0,08/12/2010,0,187190,0,0,1,0,0,0,0,0,93.3
1,01/01/2013,47952,186531,0,1,1,351.9,30.2,96.1,0,0,0
1,01/01/2013,47952,186528,0,1,1,351.9,30.2,96.1,0,0,0
0,03/09/2010,401,186138,0,1,1,0,90.1,91,0,0,100
0,02/27/2014,2570,184802,0,1,1,206.2,72.8,85.1,0,0,0
1,11/18/2010,13950,183814,0,1,1,351.9,30.2,96.1,0,0,0
1,02/25/2013,88300,182925,0,1,1,0,82.1,81.2,0,0,100
0,01/24/2010,1005,182784,0,1,1,80.7,96.4,32.9,0,0,100
0,04/07/2009,33322,182624,0,0,1,180,1.1,36.1,0,0,0
0,08/07/2011,88393,182322,0,1,0,196,100,70.6,200,19,92.9
0,07/24/2009,3966,181995,0,1,1,196,100,70.6,200,19,92.9
1,04/16/2010,4676,181960,0,1,0,196,100,70.6,200,19,92.9
1,12/03/2011,21976,181248,0,0,1,296.9,94.2,87.8,0,0,0
1,03/31/2013,61,179000,0,1,0,196,100,70.6,200,19,92.9
1,09/26/2010,511,178847,0,1,0,0,100,100,201.5,53.7,85.5
1,03/07/2011,7688,177473,0,1,1,195.2,37,92.2,0,0,100
0,01/12/2008,22,176940,0,1,1,0,0,0,0,0,93.3
0,01/12/2008,22,176940,0,1,1,0,0,0,0,0,93.3
0,07/27/2010,207,176882,0,0,1,0,96,96.9,0,0,100
0,10/10/2009,22666,176108,0,1,1,196,100,70.6,216.5,32,96.9
1,01/15/2013,16813,176057,0,1,1,205.9,18.1,80,0,0,100
0,03/07/2014,16613,175999,0,1,1,196,100,70.6,200,19,92.9
1,08/28/2010,50199,175896,0,1,1,282.1,30.8,98,0,0,0
1,02/25/2009,489,175876,0,1,1,22.7,70.7,61.6,33.6,41.9,85.1
0,03/06/2011,72502,175524,0,1,1,3,94.5,92.5,0,0,100
1,03/15/2014,10113,175311,0,0,1,196,100,70.6,200,19,92.9
0,06/07/2010,22497,174730,0,1,1,223,90.7,54.9,0,0,0
1,05/16/2011,92,174607,0,1,1,0,0,0,0,0,100
1,05/16/2011,92,174607,0,1,1,0,0,0,0,0,100
0,10/02/2009,3136,174285,0,1,1,0,100,100,201.5,53.7,85.5
1,08/12/2011,154,173325,0,1,1,42.8,69.8,100,0,0,100
1,03/11/2009,131840,173310,0,1,1,0,52.1,76.1,0,0,0
1,04/07/2011,32663,172965,0,1,1,0,0,0,0,0,100
1,11/12/2009,2680,172719,0,0,1,352.5,79.2,86.7,200,19,92.9
0,07/31/2009,613,171911,0,1,1,194.1,80.3,93.7,0,0,100
1,03/28/2014,5,171585,0,1,1,196,100,70.6,200,19,92.9
1,10/01/2015,16725,170566,0,1,1,196,100,70.6,200,19,92.9
1,02/27/2012,19317,170543,0,1,1,0,100,100,0,0,100
1,12/02/2015,32163,168959,0,0,1,196,100,70.6,200,19,92.9
0,05/08/2009,34606,168388,0,1,1,106.2,84,95.3,54.7,36.6,72.9
0,05/08/2009,34580,168342,0,1,1,106.2,84,95.3,54.7,36.6,72.9
0,04/06/2009,467,168048,0,0,1,7.1,94.9,83.9,0,0,93.3
0,01/30/2009,636,168006,0,0,1,0,0,0,0,0,93.3
1,07/26/2014,276,167628,0,0,0,196,100,70.6,200,19,92.9
0,08/01/2009,5240,166834,0,1,1,0,0,0,300,100,36.1
1,04/13/2009,1228,166830,0,1,1,351.9,30.2,96.1,0,0,0
1,04/01/2015,16215,166740,0,1,1,196,100,70.6,200,19,92.9
1,03/28/2009,866,166491,0,1,1,0,96.1,80,0,0,100
1,04/29/2010,12014,166455,0,1,1,351.9,30.2,96.1,0,0,100
0,03/25/2009,1044,166337,0,1,1,196,100,70.6,216.5,32,96.9
0,07/08/2010,23890,164610,0,1,1,19.1,91,96.1,234.9,94.4,49
0,05/07/2012,99,164292,0,0,1,0,0,0,0,0,100
1,03/23/2009,1038,164174,0,1,1,196,100,70.6,216.5,32,96.9
0,05/22/2009,4604,164160,0,1,1,80.7,96.4,32.9,0,0,93.3
0,04/05/2011,710,163735,0,1,1,196,100,70.6,200,19,92.9
0,06/07/2009,212,162938,0,1,1,155.1,100,30.2,0,0,0
1,02/26/2009,6521,162864,0,1,1,29.1,100,80,54.9,32.2,100
1,03/31/2008,7463,162128,0,1,1,1.4,50.3,68.6,0,0,100
1,05/18/2013,0,161709,0,0,1,227.7,63.8,51,0,0,0
0,02/28/2010,384,161228,0,1,1,0,0,0,0,0,93.3
1,01/17/2011,1586,161098,0,0,1,312,100,100,201.5,53.7,85.5
0,07/02/2008,3,160726,0,1,1,0,0,0,0,0,93.3
0,07/02/2008,3,160726,0,1,1,0,0,0,0,0,93.3
0,07/10/2010,1188,160583,1,1,0,196,100,70.6,200,19,92.9
1,10/04/2013,59547,159844,0,1,1,247.4,24.1,92.9,0,0,100
1,03/11/2012,105694,159675,0,0,1,22.7,70.7,61.6,33.6,41.9,85.1
1,07/26/2012,37274,159645,0,1,1,0,0,0,0,0,100
1,03/23/2012,2788,158730,0,0,1,206.1,11.9,76.1,0,0,0
0,12/10/2009,850,158640,0,1,1,196,100,70.6,0,0,100
0,04/23/2013,49,158218,0,0,1,230.1,47.5,70.2,0,0,100
1,11/12/2011,9705,158124,0,1,1,60,93.8,31.4,0,0,0
0,06/05/2010,143,157991,0,1,1,196,100,70.6,200,19,92.9
0,03/19/2009,1705,157896,0,1,1,0,9,52.2,0,0,0
1,05/27/2010,4270,157297,0,1,1,0,0,0,0,0,100
1,11/07/2014,103043,157020,0,1,1,122,100,70.2,0,0,0
1,12/29/2010,4892,156531,0,1,1,0,0,0,0,0,100
0,08/17/2009,74365,156468,0,1,1,0,0,0,0,0,93.3
0,08/14/2011,1011,155936,2,1,1,0,100,100,0,90.2,100
1,09/19/2013,88683,155935,0,0,1,265.9,50,80,0,0,0
0,08/09/2014,17901,155674,0,1,1,196,100,70.6,200,19,92.9
1,08/17/2009,79601,155512,1,1,1,196,100,70.6,200,19,92.9
0,03/17/2009,9,153947,0,1,1,196,100,70.6,68,93.8,50.2
1,03/17/2009,38,153643,0,1,1,190.4,100,72.5,183.8,57.3,86.3
0,02/05/2010,11045,153389,0,1,1,206.2,72.8,85.1,0,0,0
1,07/01/2012,76715,153163,0,1,1,190.4,100,72.5,0,0,0
0,02/13/2014,40,153034,0,1,1,196,100,70.6,200,19,92.9
0,04/30/2009,499,152685,1,1,1,292,92.2,96.1,0,0,0
0,10/05/2009,10849,152474,0,1,1,196,100,70.6,220,1.2,98.8
1,12/08/2015,27,152358,0,0,0,196,100,70.6,200,19,92.9
0,11/15/2008,2,151733,0,1,1,0,0,0,0,0,93.3
0,05/27/2011,77809,151295,0,1,1,196,100,70.6,200,19,92.9
1,07/04/2012,12865,151103,0,1,1,257.1,87.5,53.3,0,0,100
0,08/13/2010,9640,150670,2,0,1,0,6.9,51,0,0,0
1,08/02/2010,11770,149703,0,0,1,0,0,0,0,0,0
1,11/04/2009,1314,149091,0,1,1,159.5,22.2,77.6,0,0,0
0,11/14/2011,34288,149005,0,1,1,196,100,70.6,0,0,100
0,03/15/2011,9009,148795,0,1,1,180,68.8,69,0,0,100
0,03/18/2013,30488,148783,0,1,1,206.1,11.9,76.1,0,0,100
1,05/03/2013,0,148754,0,0,0,196,100,70.6,200,19,92.9
0,01/16/2010,69619,148233,0,0,1,196,100,70.6,200,19,92.9
1,06/30/2012,7536,148068,0,1,1,190.4,100,72.5,0,0,0
1,02/12/2010,221,147563,0,1,1,212.9,81,74.1,0,0,100
1,06/30/2008,11988,147086,0,1,1,206.2,72.8,85.1,0,0,100
0,02/03/2009,197,146608,0,1,1,194.1,80.3,93.7,0,0,100
1,08/12/2010,4310,146354,0,0,1,196,100,70.6,0,0,100
0,11/13/2011,3,146208,0,0,0,196,100,70.6,200,19,92.9
0,05/17/2010,3195,145959,0,1,1,196,100,70.6,200,19,92.9
1,05/08/2012,105774,145604,0,1,1,189.6,67.7,65.5,0,0,100
1,08/03/2011,804,145545,0,1,1,265.9,50,80,0,0,100
1,02/21/2008,3,144918,0,1,1,325.8,80.7,79.2,57.9,79.8,97.3
0,03/05/2009,37540,144710,0,0,1,265.9,50,80,0,0,0
0,02/10/2009,18433,144710,0,1,1,194.1,80.3,93.7,0,0,100
0,08/31/2009,5696,144688,0,1,1,196,100,70.6,0,0,100
0,07/31/2009,336,144659,1,1,1,194.1,80.3,93.7,220,20,11.8
1,02/06/2011,37855,144277,1,1,1,0,0,0,0,0,93.3
0,02/25/2008,17408,143899,0,1,1,199.1,100,70.2,216.5,32,96.9
0,02/25/2008,17408,143899,0,1,1,199.1,100,70.2,216.5,32,96.9
1,03/22/2008,45,143849,0,1,1,205.2,100,71,0,0,0
1,06/06/2012,31056,143748,0,1,1,340,75,80,0,0,100
1,09/14/2010,59003,143582,0,1,1,338,46.9,82,0,0,0
1,02/07/2010,3658,143411,1,1,1,109.9,36.3,83.1,183.8,57.3,86.3
0,03/17/2009,56,143266,0,1,1,129.9,96.9,63.9,0,0,100
0,10/20/2012,7463,142834,0,0,1,0,7.7,5.1,0,0,0
0,11/28/2010,1516,142749,0,1,1,8.3,36.2,78,0,0,100
1,03/14/2014,12,142495,0,1,1,196,100,70.6,200,19,92.9
0,11/18/2009,4783,142263,0,1,1,194.1,80.3,93.7,220,20,11.8
0,03/17/2009,688,142230,0,1,1,110.1,58.6,56.9,29,96.7,94.9
0,08/19/2010,176,142186,0,1,0,196,100,70.6,200,19,92.9
1,02/26/2009,21593,141737,0,0,1,22.5,36.1,52.2,156.4,17.9,72.2
0,03/20/2011,22,141477,0,1,0,196,100,70.6,200,19,92.9
0,03/15/2011,17244,140891,0,1,1,194.1,80.3,93.7,0,0,100
1,05/20/2010,41714,140709,0,1,1,0,100,60,0,0,0
1,09/11/2011,2192,140617,0,1,1,340.1,93.9,70.6,340,75,80
1,08/11/2010,2773,140402,0,1,1,265.9,50,80,0,0,0
0,04/23/2011,5417,139545,1,1,1,110.1,58.6,56.9,0,0,0
1,02/03/2009,2614,139071,0,1,1,17.2,75.2,98,0,0,0
1,03/01/2010,521,139061,0,1,1,196.2,78.7,81.2,85.7,40.1,61.6
0,03/31/2010,92,138704,0,1,1,196,100,70.6,200,19,92.9
0,07/09/2010,354,138576,0,1,1,196,100,70.6,200,19,92.9
0,02/19/2012,23,138420,0,0,0,196,100,70.6,200,19,92.9
0,02/19/2012,23,138420,0,0,0,196,100,70.6,200,19,92.9
1,07/21/2009,73410,137438,0,1,0,340.1,93.9,70.6,0,0,100
1,02/10/2011,2292,137340,0,1,1,196,100,70.6,0,0,0
1,11/08/2011,44106,137280,0,1,1,17.2,75.2,98,0,0,100
0,01/22/2009,4529,136463,0,1,1,0,100,60,0,0,100
1,08/10/2011,11414,136448,0,1,1,9.5,39.9,62,22.2,25.8,98.8
1,06/18/2010,4281,136416,0,1,1,62,26.1,90.2,0,0,100
1,10/22/2014,0,136137,0,1,0,17.2,75.2,98,0,0,0
1,06/25/2011,12356,135951,0,1,1,0,100,100,201.5,53.7,85.5
0,04/19/2009,671,135833,0,1,1,194.1,80.3,93.7,0,0,100
0,10/21/2009,27773,135722,0,1,1,196,100,70.6,99.6,21.4,86.3
0,10/05/2011,5096,135291,0,1,1,196,100,70.6,200,19,92.9
1,01/31/2010,0,135080,0,0,1,196,100,70.6,0,0,100
0,05/27/2011,13,134937,0,1,1,196,100,70.6,0,0,100
1,03/23/2012,13084,134579,0,1,1,0,0,20,0,0,100
0,02/20/2009,21,134519,0,1,1,190.4,100,72.5,183.8,57.3,86.3
1,06/26/2009,1558,134512,0,0,0,196,100,70.6,0,0,100
0,06/26/2009,32065,134122,0,1,1,196.8,84.4,78,0,0,100
0,10/04/2010,9505,133956,0,1,1,194.1,80.3,93.7,220,20,11.8
0,06/05/2010,1,133519,0,1,1,190.4,100,72.5,183.8,57.3,86.3
0,05/15/2008,56973,133319,0,1,1,0,0,0,0,0,100
1,01/24/2013,0,133121,0,1,0,196,100,70.6,200,19,92.9
1,09/23/2010,206,132972,0,1,0,215.3,76.2,67.5,0,0,100
0,01/27/2010,0,132532,0,1,1,190.4,100,72.5,183.8,57.3,86.3
0,07/13/2009,1196,132413,0,1,1,0,0,0,0,0,100
1,08/10/2008,223,132211,0,1,0,26.7,100,68.6,0,0,0
0,03/05/2011,36025,132118,1,1,1,300,2,58,0,0,0
0,01/24/2013,0,132012,0,1,1,196,100,70.6,200,19,92.9
0,07/25/2011,1872,131954,0,1,1,102.9,100,70.2,0,0,0
1,03/09/2009,190,131817,0,1,1,288.1,94.2,87.8,300,57.9,92.2
1,12/22/2009,4491,131743,0,1,1,0,0,0,0,0,100
0,12/23/2012,23156,131658,0,1,1,42.8,69.8,100,0,0,100
1,09/05/2012,80478,131592,0,1,1,180,100,3.9,0,0,0
1,11/16/2011,8372,130870,0,1,1,0,0,0,0,0,0
1,11/18/2010,24062,130860,0,1,1,160,1.9,61.2,0,0,0
1,07/26/2011,81857,129854,0,1,1,80.7,96.4,32.9,0,0,93.3
1,12/23/2010,25577,129846,0,0,1,332,71.4,100,0,0,0
0,11/18/2012,1,129752,0,1,0,196,100,70.6,200,19,92.9
1,01/14/2013,21441,129740,0,0,1,206.1,11.9,76.1,0,0,100
0,08/08/2009,4302,129534,0,1,1,17.2,75.2,98,0,0,100
0,06/27/2012,34362,129370,0,1,1,0,0,0,0,0,100
0,10/03/2015,0,129149,0,0,1,196,100,70.6,200,19,92.9
0,03/19/2009,152811,129133,0,1,1,206.2,72.8,85.1,0,0,100
1,09/07/2011,22779,129115,1,1,1,338.9,78.7,92.2,0,0,100
1,12/03/2013,0,128474,0,1,0,196,100,70.6,200,19,92.9
1,04/17/2011,1127,128183,0,1,1,196.1,67.7,91,0,0,100
0,12/08/2012,0,128124,0,1,1,226.7,50.6,69.8,200,19,92.9
0,02/28/2009,2634,128118,0,1,1,196,100,70.6,0,0,100
1,03/13/2011,31,128090,0,1,1,196,100,70.6,200,19,92.9
1,12/24/2013,26629,127589,0,1,1,196,100,70.6,200,19,92.9
0,04/28/2010,7,127217,0,1,0,196,100,70.6,200,19,92.9
0,10/23/2010,27339,126808,0,1,1,351.9,30.2,96.1,0,0,0
1,04/18/2012,1259,126808,0,1,1,8.8,87.6,76.1,0,0,100
