gender,fav_number,retweet_count,tweet_count,sidebar_hue,sidebar_saturation,sidebar_value,link_hue,link_saturation,link_value
1,404,0,48077,0,0,100,182.4,70.6,70.6
0,629,0,22199,0,0,100,195,100,80
1,16062,0,41443,0,0,100,0,0,0
0,469,0,565,0,0,100,344.7,79.3,81.6
0,23872,0,33597,0,0,100,196,100,70.6
0,41,0,74375,0,0,100,196,100,70.6
0,52335,0,104553,0,0,100,206.1,11.9,76.1
1,4800,0,36224,0,0,100,265.9,50,80
0,12270,0,7713,0,0,100,27.9,90.1,87.1
0,68,0,17760,0,0,100,0,97.9,92.9
0,2929,0,8034,0,0,100,217.9,100,100
0,770,0,126688,0,0,100,110.1,58.6,56.9
1,1314,0,14764,0,0,100,0,36.1,100
0,1,0,40707,0,0,100,196,100,70.6
1,1016,0,13296,0,0,100,109.9,36.3,83.1
0,2066,0,79975,0,0,100,195,100,80
1,3410,0,35164,0,0,100,0,100,100
0,966,0,7434,0,0,100,352.5,79.2,86.7
0,0,0,2382,0,0,100,220,98.4,47.8
1,10230,0,3759,0,0,100,267.1,100,100
1,31261,0,20973,0,0,100,80.7,96.4,32.9
0,18334,0,92760,0,0,100,196,100,70.6
0,458,1,1341,0,0,100,197.1,19.7,27.8
1,3319,0,20517,0,0,100,265.9,50,80
1,6182,0,4933,0,0,100,0,0,0
0,360,0,4294,0,0,100,196,100,70.6
0,113,0,47991,0,0,100,17.2,75.2,98
1,1742,0,6492,0,0,100,306.9,88.9,92.2
1,7215,0,692,0,0,100,128.7,57.9,42
0,182,0,3141,0,0,100,244,100,70.2
1,5179,0,31377,0,0,100,340.1,93.9,70.6
0,7745,0,19752,0,0,100,7.1,68.3,96.5
1,4213,0,29153,0,0,100,316,91.1,92.2
1,1130,0,10147,0,0,100,351.9,30.2,96.1
1,3665,0,103696,0,0,100,340,75,80
0,4126,0,462,0,0,100,197.1,93.3,5.9
1,449,0,1845,0,0,100,123.7,54,58.8
0,2345,0,231321,0,0,100,196,100,70.6
1,43,0,20393,0,0,100,215.8,92.2,96.1
1,10432,0,30112,0,0,100,321.1,50.2,100
1,1310,0,7524,0,0,100,16.1,93.1,91
0,1374,0,3185,0,0,100,196,100,70.6
1,11988,0,147086,0,0,100,206.2,72.8,85.1
1,1114,0,7282,0,0,100,196,100,70.6
0,8960,0,19513,0,0,100,0,0,0
0,113,0,3059,0,0,100,196,100,70.6
0,153,0,6073,0,0,100,0,100,100
0,1729,0,13955,0,0,100,196,100,70.6
0,9007,1,56748,0,0,100,194.1,80.3,93.7
1,1957,0,8266,0,0,100,0,0,0
0,1567,0,4396,0,0,100,17.2,75.2,98
1,106,0,87569,0,0,100,30.8,77.9,94.1
1,1538,0,5571,0,0,100,341.3,90.8,67.8
1,2969,0,11673,0,0,100,0,100,60
0,220,0,255391,0,0,100,196,100,70.6
0,18,0,777,0,0,100,0,100,50.2
1,434,0,44365,0,0,100,265.9,50,80
1,1403,0,20218,0,0,100,196,100,70.6
0,13261,0,954,0,0,100,278.1,100,100
1,18698,0,22930,0,0,100,196,100,70.6
1,13,0,6780,0,0,100,196,100,70.6
0,1263,0,20739,0,0,100,196,100,70.6
1,9409,1,3078,0,0,100,351.9,30.2,96.1
0,668,0,5344,0,0,100,200.5,90,86.7
0,1130,0,989,0,0,100,198.9,81.2,81.2
0,353,0,1205,0,0,100,206.2,72.8,85.1
1,4632,0,34407,0,0,100,0,57.2,67.8
1,3111,0,13017,0,0,100,15.3,97.8,53.3
1,8929,0,2148,0,0,100,0,100,6.7
1,1299,0,72253,0,0,100,356.2,100,18.8
1,5193,0,26933,0,0,100,195,100,80
1,1213,0,1203,0,0,100,132.4,43.4,56.9
1,42,0,22348,0,0,100,196,100,70.6
0,49,0,649,0,0,100,224.9,100,70.2
1,12541,0,43152,0,0,100,206.2,72.8,85.1
0,9411,0,15440,0,0,100,17.2,75.2,98
0,340,0,28781,0,0,100,196,100,70.6
0,20747,0,7770,0,0,100,0,0,0
0,724,0,22650,0,0,100,196,100,70.6
0,15758,0,14114,0,0,100,196,100,70.6
0,3503,0,6797,0,0,100,196,100,70.6
1,3965,0,6895,0,0,100,80.7,96.4,32.9
0,4538,0,12625,0,0,100,204.1,87.1,94.1
0,0,0,34524,0,0,100,60,2.2,52.9
0,180,0,1443,0,0,100,0,0,0
1,9192,0,8839,0,0,100,0,98,100
0,19211,0,69004,0,0,100,22.7,70.7,61.6
1,76,0,8926,0,0,100,196,100,70.6
1,3469,0,8948,0,0,100,156,79.2,47.1
0,1006,0,25609,0,0,100,190.4,100,72.5
0,2143,0,33020,0,0,100,0,0,0
1,51837,0,64153,0,0,100,0,0,0
1,3691,0,61843,0,0,100,265.9,50,80
1,3048,0,1398,0,0,100,0,100,100
1,147,0,25349,0,0,100,196,100,70.6
1,1850,0,21122,0,0,100,341.8,95.1,72.2
0,3325,0,2730,0,0,100,0,0,0
1,3915,0,34711,0,0,100,110.1,58.6,56.9
0,1,0,271479,0,0,100,190.4,100,72.5
1,56051,0,71394,0,0,100,17.2,75.2,98
0,2111,0,2222,0,0,100,216.8,88.1,69
0,1309,0,66328,0,0,100,2.2,86.1,76.1
0,7590,0,31461,0,0,100,196,100,70.6
0,17704,0,101552,0,0,100,147.9,88.7,38
1,18236,0,20244,0,0,100,110.1,58.6,56.9
0,248,0,38512,0,0,100,17.2,75.2,98
1,7175,0,50520,0,0,100,206,45.2,98
1,34,0,32,0,0,100,350.3,38.8,94.1
0,12705,0,42235,0,0,100,196,100,70.6
1,10772,0,8449,0,0,100,351.9,30.2,96.1
1,126,0,1518,0,0,100,107.8,92.2,65.1
0,126805,1,68352,0,0,100,235.9,66.7,43.5
0,195,0,2075,0,0,100,12,100,100
1,322,0,2986,0,0,100,196,100,70.6
1,1353,0,2161,0,0,100,42.8,69.8,100
0,216,0,81306,0,0,100,266.1,100,70.2
1,1304,0,2351,0,0,100,308.5,27.8,100
0,9009,0,148795,0,0,100,180,68.8,69
1,1904,0,47620,0,0,100,190.4,100,72.5
0,2248,0,1594,0,0,100,196,100,70.6
1,5451,0,5118,0,0,100,0,0,0
0,10316,0,1644,0,0,100,206.2,72.8,85.1
0,0,0,18841,0,0,100,194.1,80.3,93.7
0,48282,0,71045,0,0,100,206.1,11.9,76.1
1,2665,0,9674,0,0,100,275.6,65.9,32.2
0,0,0,17785,0,0,100,340.1,93.9,70.6
0,12770,7,21181,0,0,100,200.5,100,16.1
1,8400,0,36548,0,0,100,109.9,36.3,83.1
0,4,0,18020,0,0,100,196.8,84.4,78
0,623,0,4604,0,0,100,196.8,84.4,78
0,1430,0,7627,0,0,100,352.5,79.2,86.7
0,2003,0,13156,0,0,100,352.3,91.8,43.1
1,8685,0,23022,0,0,100,55,92.8,92.2
0,1,0,18264,0,0,100,71.6,59,65.1
0,9664,0,68794,0,0,100,0,100,100
0,61,0,11398,0,0,100,239,94.1,100
1,1036,0,9174,0,0,100,0,0,0
1,0,0,53463,0,0,100,0,0,0
0,13354,0,64544,0,0,100,0,100,60
0,2550,0,10273,0,0,100,196,100,70.6
1,1033,0,7160,0,0,100,279.9,92.3,81.2
1,10471,0,16388,0,0,100,351.9,30.2,96.1
0,440,0,36781,0,0,100,0,0,0
0,342,0,363561,0,0,100,352.5,79.2,86.7
0,2903,0,12972,0,0,100,352.5,79.2,86.7
1,2581,0,5662,0,0,100,348,100,100
1,10264,0,18537,0,0,100,170.1,100,100
1,3278,0,17816,0,0,100,41.1,85.6,68.2
1,5920,0,24966,0,0,100,352.5,79.2,86.7
0,14871,0,91419,0,0,100,0,98.7,92.9
0,2070,0,7500,0,0,100,195.9,92.3,76.9
1,1496,0,5985,0,0,100,0,100,100
0,3417,0,23069,0,0,100,194.1,80.3,93.7
1,7643,0,5141,0,0,100,22.7,70.7,61.6
0,380,0,2570,0,0,100,196,100,70.6
1,529,0,44610,0,0,100,196,100,70.6
1,2554,0,89430,0,0,100,340.1,93.9,70.6
1,4634,0,19402,0,0,100,330.9,72.1,94.1
1,4947,0,118452,0,0,100,57.1,65.9,85.1
1,25032,0,58336,0,0,100,180,100,100
0,21499,0,275889,0,0,100,0,0,0
0,175,0,1132,0,0,100,206,45.2,98
1,11761,0,13591,0,0,100,265.9,50,80
0,3526,0,17761,0,0,100,0,94.9,92.2
0,371,0,4659,0,0,100,17.2,75.2,98
0,18120,0,95346,0,0,100,206,45.2,98
1,2153,0,2190,0,0,100,175.1,92.1,94.1
1,0,0,76978,0,0,100,196,100,70.6
0,6,0,50280,0,0,100,240,100,100
1,507,0,11586,0,0,100,195,100,80
1,1727,0,13604,0,0,100,0,0,0
1,1440,0,19961,0,0,100,0,0,0
1,21216,0,17520,0,0,100,351.9,30.2,96.1
1,14186,0,71522,0,0,100,318,89.2,91
1,1072,0,5581,0,0,100,240,66.7,20
1,2,0,7169,0,0,100,0,100,100
1,13543,0,30380,0,0,100,340,100,100
0,621,0,97846,0,0,100,196,100,70.6
1,3209,0,35144,0,0,100,300,7.7,5.1
1,390,0,1712,0,0,100,315.5,24,94.9
0,957,0,2367,0,0,100,196,100,70.6
0,1445,0,7862,0,0,100,206.2,72.8,85.1
0,72,0,12481,0,0,100,195,100,80
1,221,0,147563,0,0,100,212.9,81,74.1
1,36745,0,24968,0,0,100,196,100,70.6
1,781,0,2931,0,0,100,352.5,79.2,86.7
0,874,0,83590,0,0,100,0,0,0
1,35222,0,51442,0,0,100,309.1,58.2,92.9
1,149,0,188,0,0,100,110.1,58.6,56.9
1,471,0,1283,0,0,100,190.4,100,72.5
1,17,0,47,0,0,100,0,0,5.1
0,1867,0,51456,0,0,100,0,96,98.8
0,388,0,23614,0,0,100,0,100,60
0,291,0,18395,0,0,100,352.5,79.2,86.7
0,290,0,848,0,0,100,196,100,70.6
0,2627,0,4244,0,0,100,344.7,79.3,81.6
1,592,0,379,0,0,100,190.4,100,72.5
0,4090,0,19897,0,0,100,352.5,79.2,86.7
1,478,0,2120,0,0,100,0,100,60
1,21817,0,96541,0,0,100,0,0,0
1,9387,0,14151,0,0,100,196,100,70.6
0,16216,0,52433,0,0,100,196,100,70.6
0,0,0,24061,0,0,100,0,100,7.8
1,2770,0,27868,0,0,100,190.4,100,72.5
1,29942,0,22158,0,0,100,42.8,69.8,100
1,354,0,1135,0,0,100,196,100,70.6
0,10983,0,46598,0,0,100,208.7,77,47.8
0,72502,0,175524,0,0,100,3,94.5,92.5
0,6389,0,299914,0,0,100,107,90.2,16.1
1,30725,0,73328,0,0,100,196,100,70.6
1,560,0,1700,0,0,100,0,0,0
1,3278,0,1762,0,0,100,326.1,83.2,91
1,341621,0,236509,0,0,100,295.1,57.9,92.2
1,1317,0,1932,0,0,100,0,100,60
0,29,0,5580,0,0,100,196,100,70.6
0,4750,0,13063,0,0,100,352.5,79.2,86.7
0,947,0,2512,0,0,100,110.1,58.6,56.9
0,23795,0,17628,0,0,100,0,0,0
0,7852,0,63464,0,0,100,352.5,79.2,86.7
1,538,0,2471,0,0,100,324.7,60.2,80.8
0,1946,0,15050,0,0,100,130,11.8,40
1,46710,0,79119,0,0,100,206.1,11.9,76.1
0,266,0,77237,0,0,100,196,100,70.6
0,162,0,4282,0,0,100,23.1,100,75.3
0,3175,0,27904,0,0,100,206.1,11.9,76.1
1,17565,0,29409,0,0,100,0,0,0
0,11555,0,39002,0,0,100,206.1,11.9,76.1
0,1828,0,8031,0,0,100,0,100,70.2
1,2364,0,47275,0,0,100,356.2,100,31.4
1,1264,0,1706,0,0,100,22.7,70.7,61.6
1,49,0,292,0,0,100,0,0,0
1,3285,0,5981,0,0,100,351.9,30.2,96.1
1,565,0,23708,0,0,100,265.9,50,80
0,5904,0,10700,0,0,100,196,100,70.6
1,34,0,1382,0,0,100,190.4,100,72.5
0,2659,0,12632,0,0,100,17.2,75.2,98
0,1945,0,73755,0,0,100,352.5,79.2,86.7
1,8670,0,69065,0,0,100,196,100,70.6
0,3022,0,17889,0,0,100,24.8,93.9,96.9
1,7742,0,5255,0,0,100,17.2,75.2,98
0,117604,1,2121,0,0,100,0,0,0
0,1,0,412,0,0,100,196,100,70.6
0,638,0,11701,0,0,100,0,0,0
1,3764,0,94898,0,0,100,213,96.3,74.1
1,797,0,16250,0,0,100,110.1,58.6,56.9
0,23818,0,49589,0,0,100,352.5,79.2,86.7
1,3258,0,5714,0,0,100,0,0,100
0,1,0,5978,0,0,100,196,100,70.6
0,13845,0,42539,0,0,100,210,44.4,17.6
1,9136,0,22574,0,0,100,0,0,0
0,9786,0,6756,0,0,100,206,45.2,98
1,4541,0,14733,0,0,100,71.6,59,65.1
0,3587,0,12739,0,0,100,196,100,70.6
0,9,0,2790,0,0,100,336.1,87.7,92.2
1,177,0,2418,0,0,100,285,5.9,52.9
0,53,0,46849,0,0,100,190.4,100,72.5
0,2340,0,39551,0,0,100,352.5,79.2,86.7
1,2436,0,19305,0,0,100,265.9,50,80
1,658,0,293053,0,0,100,272.9,100,60
0,775,0,14156,0,0,100,0,0,0
0,3574,0,225877,0,0,100,252,81.8,83.9
1,3578,0,27267,0,0,100,340.1,93.9,70.6
0,170567,0,94802,0,0,100,229.9,90.5,62
0,1622,0,1675,0,0,100,231.2,37.8,35.3
1,14186,0,71523,0,0,100,318,89.2,91
0,5525,1,46634,0,0,100,196,100,70.6
0,3108,0,17336,0,0,100,0,0,0
0,5115,3,2369,0,0,100,0,0,0
0,8500,0,12896,0,0,100,345.5,58,39.2
1,452,0,19560,0,0,100,323.9,93.1,91
0,18233,0,21353,0,0,100,206.1,11.9,76.1
0,23259,0,5586,0,0,100,196,100,70.6
1,15719,0,28905,0,0,100,196,100,70.6
0,2826,0,15718,0,0,100,0,0,0
0,16739,0,33828,0,0,100,0,100,100
0,2606,0,6769,0,0,100,206.1,11.9,76.1
0,9,0,41781,0,0,100,196,100,70.6
0,1836,0,9366,0,0,100,196,100,70.6
1,97,0,7546,0,0,100,304.1,24.1,96.1
0,18788,0,64381,0,0,100,0,0,0
0,424,0,4972,0,0,100,22.7,70.7,61.6
1,5853,0,72566,0,0,100,270.7,90.7,54.9
1,1939,0,123229,0,0,100,345,52.9,94.9
0,1654,0,38346,0,0,100,0,0,20
0,44,0,11486,0,0,100,196,100,70.6
0,33909,0,12334,0,0,100,194.6,83.3,32.9
1,3,0,1570,0,0,100,19.1,100,70.2
1,2035,0,12464,0,0,100,22.7,88.2,76.5
1,697,0,10737,0,0,100,0,100,100
1,24045,0,37197,0,0,100,206.2,72.8,85.1
1,5,0,10671,0,0,100,16,84.1,83.9
0,29399,0,31746,0,0,100,278.1,100,100
1,25231,0,48535,0,0,100,196,100,70.6
0,11704,0,11863,0,0,100,180,7.7,5.1
1,22779,1,129115,0,0,100,338.9,78.7,92.2
1,36120,0,28196,0,0,100,321.3,50,83.9
1,27264,0,34456,0,0,100,351.9,30.2,96.1
0,1266,0,28996,0,0,100,0,0,0
1,3,0,3342,0,0,100,346.8,90.6,74.9
1,14132,0,34398,0,0,100,203.9,86,94.9
0,462,0,18294,0,0,100,196,100,70.6
1,14434,0,20437,0,0,100,0,0,20
0,6264,0,91585,0,0,100,320,100,20
1,2080,0,38285,0,0,100,265.9,50,80
1,34,0,2419,0,0,100,110.1,58.6,56.9
1,36,0,1204,0,0,100,196,100,70.6
0,152811,0,129133,0,0,100,206.2,72.8,85.1
0,283,0,15850,0,0,100,194.1,80.3,93.7
1,1320,0,90754,0,0,100,205.9,100,100
0,1441,0,4517,0,0,100,0,0,0
0,172,0,17594,0,0,100,42.8,69.8,100
1,9575,0,13353,0,0,100,196.8,84.4,78
1,6528,0,19285,0,0,100,352.5,79.2,86.7
1,11001,0,32685,0,0,100,271.9,58,98
0,389,1,16564,0,0,100,0,0,0
1,473,0,1014,0,0,100,0,0,72.5
0,2584,0,6196,0,0,100,206.2,72.8,85.1
1,9,0,35934,0,0,100,0,0,0
0,314,0,27782,0,0,100,242,88.9,78
0,160,0,20082,0,0,100,196,100,70.6
0,20,0,266677,0,0,100,226.8,90.3,81.2
0,0,0,27188,0,0,100,227.1,100,100
1,2164,0,6332,0,0,100,351.9,30.2,96.1
1,1907,0,13296,0,0,100,351.9,30.2,96.1
0,3303,0,17731,0,0,100,0,0,0
1,14643,0,9731,0,0,100,0,0,0
0,1007,0,39003,0,0,100,240,4.7,42
1,9744,0,58623,0,0,100,206.1,11.9,76.1
1,1225,0,14753,0,0,100,351.9,30.2,96.1
1,7629,0,36959,0,0,100,159.9,80.2,89
1,662,0,2737,0,0,100,0,0,44.3
0,2,0,1319,0,0,100,196,100,70.6
1,2130,0,197,0,0,100,187,87.2,76.9
0,908,0,2086,0,0,100,206.2,72.8,85.1
0,3099,0,4991,0,0,100,206.1,11.9,76.1
1,3934,0,36362,0,0,100,348.2,78,100
0,244,0,21639,0,0,100,110.1,58.6,56.9
1,16736,0,9664,0,0,100,351.9,30.2,96.1
0,267,0,6357,0,0,100,12,100,100
0,593,0,78428,0,0,100,0,100,100
1,4550,0,199805,0,0,100,80.7,96.4,32.9
1,3943,0,41194,0,0,100,0,0,0
0,7335,0,123164,0,0,100,199.3,100,75.7
1,18965,0,64311,0,0,100,340,75,80
0,4360,0,17990,0,0,100,196,100,70.6
1,8306,0,19379,0,0,100,280,86,67.1
0,195,0,13720,0,0,100,17.2,75.2,98
1,7677,0,23269,0,0,100,309.1,74,80
0,43247,0,114955,0,0,100,340.1,93.9,70.6
1,904,0,10849,0,0,100,55.2,100,34.5
1,5217,0,28127,0,0,100,351.9,30.2,96.1
0,194,0,108241,0,0,100,229.8,97,52.2
0,4319,0,6511,0,0,100,89.6,68.8,43.9
0,9,0,2086,0,0,100,196,100,70.6
1,8205,0,36709,0,0,100,164.9,81.8,83.9
1,2041,0,24565,0,0,100,251.9,63.9,65.1
0,10378,0,9343,0,0,100,206.2,72.8,85.1
0,2179,0,9011,0,0,100,196,100,70.6
1,6128,0,5376,0,0,100,196,100,70.6
0,4234,0,17949,0,0,100,196,100,70.6
0,7507,0,47477,0,0,100,0,0,0
0,192,0,236402,0,0,100,193.5,25.9,74.1
0,4804,0,6035,0,0,100,344.7,79.3,81.6
0,32515,0,97348,0,0,100,319.4,38,96.1
1,67612,0,35537,0,0,100,352.5,79.2,86.7
1,14186,0,71523,0,0,100,318,89.2,91
1,1040,0,48122,0,0,100,0,100,60
1,12071,0,16512,0,0,100,0,0,20
0,48807,0,32965,0,0,100,0,88.7,38
1,7166,0,11987,0,0,100,268.2,73,90.2
0,19454,0,59478,0,0,100,206.1,11.9,76.1
0,14310,0,102224,0,0,100,206,45.2,98
1,1641,0,4760,0,0,100,206.2,72.8,85.1
0,809,0,4425,0,0,100,196,100,70.6
0,7871,0,40728,0,0,100,196,100,70.6
0,0,0,12140,0,0,100,180,72.6,45.9
0,900,0,18530,0,0,100,276.9,37.1,41.2
1,12777,0,83067,0,0,100,180,10,3.9
1,9932,0,60718,0,0,100,0,0,0
1,24,0,12341,0,0,100,110.1,58.6,56.9
0,596,0,93628,0,0,100,196,100,70.6
1,12540,0,21860,0,0,100,337.2,87.9,90.6
1,1674,0,7011,0,0,100,220,90,94.1
1,717,0,3376,0,0,100,15.3,97.8,53.3
1,18718,0,46074,0,0,100,109.9,36.3,83.1
1,2,0,84215,0,0,100,196,100,70.6
1,2152,0,1693,0,0,100,215.6,25.8,82
0,12643,0,28065,0,0,100,351.9,30.2,96.1
1,6160,0,7997,0,0,100,194.1,80.3,93.7
1,7734,0,20064,0,0,100,282,94.8,82.7
1,14494,0,13115,0,0,100,196.8,84.4,78
0,10970,0,27524,0,0,100,194.1,80.3,93.7
0,140,0,3911,0,0,100,12,100,100
0,8201,0,13995,0,0,100,196,100,70.6
1,1107,0,4052,0,0,100,206,45.2,98
0,9960,10,103936,0,0,100,0,0,0
1,1663,0,213360,0,0,100,339.8,93.9,70.6
0,3559,0,8517,0,0,100,196,100,70.6
1,6811,0,16327,0,0,100,0,100,60
0,18647,0,108083,0,0,100,206.2,72.8,85.1
1,1680,0,7225,0,0,100,206.1,11.9,76.1
1,29484,0,65178,0,0,100,271,79.9,76.1
0,70,0,6813,0,0,100,0,0,72.5
1,8078,0,17174,0,0,100,196,100,70.6
1,3746,0,9406,0,0,100,196,100,70.6
1,5193,0,7698,0,0,100,280,91.1,43.9
0,280,0,4431,0,0,100,206.2,72.8,85.1
1,1825,0,2746,0,0,100,194.1,7.9,83.9
0,36,0,14695,0,0,100,344.7,79.3,81.6
1,18407,0,32471,0,0,100,265.9,50,80
1,146,0,1224,0,0,100,196,100,70.6
1,1036,1,9220,0,0,100,316,76.7,94.1
1,415,0,8285,0,0,100,80.7,96.4,32.9
0,18107,0,2170,0,0,100,180,2,98
1,8605,0,13556,0,0,100,196,100,70.6
1,2802,0,24527,0,0,100,229.8,94.3,76.1
0,22094,0,33466,0,0,100,196,100,70.6
1,3409,0,62285,0,0,100,290,34,96.9
0,5120,0,17198,0,0,100,0,0,0
1,2357,0,77468,0,0,100,344.7,79.3,81.6
1,2678,0,19606,0,0,100,110.1,58.6,56.9
0,4,0,15632,0,0,100,194.1,80.3,93.7
1,184,0,2328,0,0,100,0,72.1,70.2
0,175,0,47366,0,0,100,196,100,70.6
1,11382,0,12474,0,0,100,268.9,36.5,29
1,10203,0,20841,0,0,100,110.1,58.6,56.9
0,166,0,172,0,0,100,196,100,70.6
1,1212,0,33206,0,0,100,200.2,52.6,59.6
1,20722,0,33912,0,0,100,340.1,94.1,92.9
1,2675,0,14070,0,0,100,265.9,50,80
0,100,0,3127,0,0,100,0,100,40
0,12446,0,12453,0,0,100,256.4,60.3,85.9
0,909,0,21834,0,0,100,0,0,0
1,5840,0,122,0,0,100,265.9,50,80
1,5660,1,1360,0,0,100,196,100,70.6
0,211,0,27891,0,0,100,206.1,11.9,76.1
